TIC ID,CTOI,Promoted to TOI,Master priority,SG1A priority,SG1B priority,SG2 priority,SG3 priority,SG4 priority,SG5 priority,Initial Community Disposition,TFOPWG Disposition,TESS mag,TESS mag error,RA (deg),Dec (deg),PM RA (mas/yr),PM RA error,PM Dec (mas/yr),PM Dec error,Transit Epoch (BJD),Transit Epoch error,Period (days),Period error,Duration (hours),Duration error,Depth (mmag),Depth (mmag) error,Depth (ppm),Depth (ppm) error,Planet Radius (R_Earth),Planet Radius error,Stellar Distance (pc),Stellar Distance error,Stellar Teff (K),Stellar Teff error,Stellar log(g) (cm/s2),Stellar log(g) error,Stellar Radius (R_Sun),Stellar Radius error,Notes,Date Modified,User,Group,Tag
5079059,5079059.01,,,,,,,,,PC,,11.4937,0.006,176.208015,34.845681,-43.332,0.061,-10.13,0.046,2458898.968,0.007,1.09,0.001,0.083,0.009,1.125,,1036,,2.571,0.51,182.853,1.184,5215.95,104.975,4.58582,0.076042,0.794931,0.0392562,"new CTOI, Montalto (2022)",2022-10-20,montalto,,420943
5364106,5364106.01,,,,,,,,,PC,,11.0866,0.009,139.231123,-20.676234,-8.213,0.07,13.641,0.083,2459259.215,0.004,,,6.4,0.3,1.739,0.174,1600,160,5.4,0.4,299.679,3.4145,5964,131.187,4.27302,0.0803521,1.26252,0.0622311,PHT candidate. Single transit event.,2021-05-20,eisner,,97182
5364106,5364106.02,,,,,,,,,PC,,11.0866,0.009,139.231123,-20.676234,-8.213,0.07,13.641,0.083,2459256.435,0.006,,,13.7,0.3,1.63,0.109,1500,100,5.4,0.3,299.679,3.4145,5964,131.187,4.27302,0.0803521,1.26252,0.0622311,PHT single transit.,2022-11-22,eisner,,422403
5642884,5642884.01,,,,,,,,,PC,,10.9614,0.007,32.528854,27.858453,10.334,0.084,2.932,0.071,2458788.541,0.011,4.261,0.003,0.167,0.024,0.651,,599,,6.034,1.148,461.324,10.251,6005,120.041,3.85288,0.0811606,2.06659,0.104221,"new CTOI, Montalto (2022)",2022-10-20,montalto,,420865
5696824,5696824.01,,,,,,,,,PC,,10.6185,0.006,143.396058,-36.835939,-0.662,0.035,-3.454,0.043,2458491.766,,1.755,,,,0.978,,900,,,,201.541,1.1875,5952,135.777,4.43272,0.0792534,1.05048,0.0521859,DTARPS 008 in Melton+  arXiv:2302.06724,2023-03-01,feigelson,,426909
5966772,5966772.01,,,,,,,,,PC,,10.4795,0.006,193.398197,-23.119791,-55.084,0.091,-73.352,0.117,2459331.1,0.01,,,,,1.304,0.271,1200,250,2.8,0.4,87.0611,0.41,4677,130.555,4.56264,0.0955044,0.750312,0.0567965,PHT candidate. Possible additional transit event in the FFIs at ~ 1587.95 TBJD.,2021-10-14,eisner,,100854
6242388,6242388.01,,,,,,,,,PC,,12.3605,0.008,80.006785,19.415556,12.488,0.06,-7.175,0.043,2459484.972,0.008,,,2.867,0.496,10.068,0.815,9230,750,22.476,0.898,626.386,14.6805,5323,127.716,3.74064,0.0854676,2.14096,0.127435,Found with our in-house single transit finder; Sector 43,2021-11-24,vogl,,102292
6426639,6426639.01,,,,,,,,,PC,,11.4788,0.006,112.600441,-11.118528,16.69,0.067,-21.865,0.059,2458492.29,,1.58,,,,0.391,,360.05,,,,448.939,8.026,6138,128.164,4.15518,0.0829865,1.4936,0.0696483,All data ontained using the LightKurve framework,2021-01-10,chiarello,,93113
6515171,6515171.01,,,,,,,,,PC,,11.1481,0.006,112.767938,-6.44881,-23.765,0.052,4.197,0.038,2458493.44,,5.48,,,,0.009,,8.46,,,,167.62,0.894,5127,125.795,4.48273,0.0841528,0.882926,0.0525829,All Data obtained using the Light Kurve framework,2021-02-01,chiarello,,93760
6517467,6517467.01,,,,,,,,,PC,,11.5345,0.006,112.858294,-6.468787,-4.342,0.056,-49.236,0.042,2458491.71,,1.33,,,,0.017,,15.74,,,,240.965,2.092,5680,128.829,4.55264,0.0799851,0.880798,0.0447689,All data obtained using the Light Kurve Framework,2021-02-01,chiarello,,93761
7145074,7145074.01,,,,,,,,,PC,,11.1407,0.006,4.513159,-43.409677,-4.205,0.123,-22.153,0.145,2459111.52,0.01,,,,,4.352,0.109,4000,100,,,388.276,16.6085,5275.4,113.496,3.74688,0.0901214,2.1024,0.147311,WINE single transit,2020-12-21,brahm,,92643
7422496,7422496.01,4189.01,,,,,,,,PC,,8.7601,0.006,81.348892,-44.431285,-44.098,0.042,-110.328,0.051,2458470.354,0.05,0,,5.9,1,0.76,0.326,700,300,2.4,1,69.6026,0.1272,5744,117.134,4.56261,0.0761973,0.879321,0.0413869,Planet Hunters TESS candidate. Single transit event.,2020-01-24,eisner,,15948
7548817,7548817.01,2583.01,,,,,,,,PC,,12.0453,0.007,272.267029,45.3369,7.682,0.035,5.014,0.039,2458687.086,,4.521,,4.597,,9.667,,8863.8,,15.935,,566.189,6.399,6050,127.639,4.1419,0.0810965,1.49494,0.071583,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,2021-02-08,olmschenk,,93938
7559164,7559164.01,,,,,,,,,PC,,10.2939,0.006,114.325825,-10.228665,3.435,0.053,-8.931,0.043,2458489.838,0.01,2.734,0.002,0.148,0.023,0.509,,469,,7.354,3.538,313.071,3.1925,5006,122,,,2.59291,,"new CTOI, Montalto (2022)",2022-10-20,montalto,,420789
7688647,7688647.01,,,,,,,,,PC,,15.5715,0.008,65.362323,-39.014165,-88.576,0.138,-101.684,0.183,2458439.189,0.034,1.936,0.007,0.809,,20.01,0.137,18260.913,126.614,2.713,0.083,73.7926,0.43295,3038,157,5.12906,0.0359231,0.167972,0.00532643,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647",2021-04-06,feliz,,96012
7984988,7984988.01,,,,,,,,,PC,,11.9218,0.007,157.19097,-4.136618,7.754,0.076,-2.859,0.075,2459275.052,0.019,,,5.8,5.41,3.054,0.935,2809.31,860.83,4.84,0.69,241.822,3.4605,5353.46,114.361,4.56337,0.0780712,0.834813,0.0439522,Found with our in-house single transit finder,2021-05-04,steuer,,96867
8671865,8671865.01,,,,,,,,,PC,,12.2589,0.006,248.62411,34.460222,-11.293,0.035,0.115,0.044,2458917.039,0.006,43.965,,0.322,0.031,4.457,,4097,,9.07,2.574,502.032,6.2975,6149.48,140.88,4.37255,0.0882853,1.16541,0.0619095,"new CTOI, Montalto (2022)",2022-10-20,montalto,,420941
8963901,8963901.01,,,,,,,,,PC,,11.2163,0.015,354.637088,-9.318778,9.894,0.091,-8.363,0.057,2458354.278,,0.485,,1.867,,157.149,,134752.781,,200.837,,1465.31,107.12,6515,100,,,5.01577,,new CTOI,2019-12-29,lipponen,,8409
9099764,9099764.01,,,,,,,,,PC,,10.9202,0.006,60.140476,-5.576599,89.386,0.06,-46.912,0.042,2458462.628,0.01,,,11.87,7.32,0.733,0.456,674.64,419.55,2.26,0.62,129.484,0.656,5036,128.467,4.55958,0.0843617,0.796388,0.050005,Found with our in-house single transit finder,2021-06-02,steuer,,97398
9176290,9176290.01,,,,,,,,,PC,,10.5659,0.006,62.270417,-3.861213,60.1,0.059,28.452,0.052,2458443.27,0.014,,,2.13,0.85,3.993,0.036,3671.38,33.51,4.45,0.02,103.464,0.44,5290,130.579,4.7418,0.0812956,0.672073,0.0378895,Found with our in-house single transit finder,2021-06-02,steuer,,97399
9376051,9376051.01,,,,,,,,,PC,,9.97062,0.006,150.924045,39.005047,-6.17,0.075,-56.536,0.084,2458875.006,,,,6.864,,1.771,,1630,,5.1,,168.06,1.6475,5961,123.669,4.35054,0.0781307,1.15579,0.0544095,Found with our in-house single transit finder; transit finder output attached under 'Files',2020-10-27,steuer,,36572
9443323,9443323.01,6052.01,,,,,,,,PC,,12.1957,0.006,68.846509,56.868269,-10.883,0.072,11.862,0.064,2458818.027,,4.013,,3.923,,8.348,,7659.1,,15.51,,515.59,12.4805,5679,165.385,4.07294,0.08575,1.53012,0.0837362,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,2021-02-08,olmschenk,,93939
9567278,9567278.01,,,,,,,,,PC,,13.332,0.008,259.126274,30.224572,4.556,0.026,17.838,0.034,2458985.299,0.005,3.379,0.001,2.757,0.179,34.09,17.468,30910,15960,17.81,4.6,561.056,5.7245,5373.93,134.12,4.40719,,0.999268,,"Qual:B,NotCM?. Rp=(0.83-2.36)Rj. b=0.00-0.66 (3-97HDI).",2022-02-19,bouma,tfopwg,108227
9570501,9570501.01,,,,,,,,,PC,,12.1434,0.007,259.232245,34.318149,-2.508,0.034,-7.955,0.037,2458982.983,0.01,1.733,0.001,0.187,0.016,1.076,,991,,6.312,1.377,983.929,19.983,5930,120.922,3.66202,0.0792102,2.53943,0.129836,"new CTOI, Montalto (2022)",2022-10-20,montalto,,420939
9632592,9632592.01,,,,,,,,,PC,,15.0179,0.007,357.198721,-7.86344,89.764,0.161,18.415,0.12,2458355.371,0.06,4.992,0.043,1.466,,21.538,0.619,19641.471,569.987,4.272,0.126,99.4005,0.8364,3225,157,4.98753,0.0129893,0.249089,0.00777591,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647",2021-04-06,feliz,,95997
9707944,9707944.01,,,,,,,,,PC,,10.6939,0.007,358.005905,-9.349538,48.456,0.085,-25.363,0.078,2459107.485,0.005,19.736,0,5.09,0.38,1.456,0.228,1340,210,4.1,0.4,209.632,3.53,5985,127.829,4.44957,0.0781593,1.03501,0.0511357,"PHT candidate. Two transits in sector 2, one in 29 and 1 in 42.",2022-01-23,eisner,,107460
9729503,9729503.01,,,,,,,,,PC,,11.0696,0.007,260.164296,34.148637,-10.249,0.033,-11,0.046,2458979.212,0.013,5.528,0.002,0.223,0.038,0.558,,514,,6.622,3.205,429.541,4.4585,5230,122,,,2.30563,,"new CTOI, Montalto (2022)",2022-10-20,montalto,,420937
9881031,9881031.01,,,,,,,,,PC,,10.8719,0.006,110.49128,39.281303,10.455,0.073,-15.971,0.071,2458842.351,0.006,1.373,0,0.146,0.01,0.577,,531,,2.953,0.481,293.441,3.4605,6293,130.852,4.34256,0.0859364,1.23946,0.0556985,"new CTOI, Montalto (2022)",2022-10-20,montalto,,421010
9907513,9907513.01,5590.01,,,,,,,,PC,,11.9639,0.006,110.689677,37.667511,-22.895,0.068,-43.138,0.062,2458843.636,0.001,1.274,0,1.055,0.076,1.266,0.042,1165.6,38.8,2.733,0.292,136.242,0.882,4216.67,132.921,4.47894,0.117494,0.775062,0.077103,From Sector 20 SPOC FFIs,2021-10-31,spencer,,101291
