TIC,CTOI,TOI,Period (exofop),Period (TEV),TESS mag,In TEV?,Eph match?,Data on PDO?,Upload to TEV?,TEV Disposition,Alert? (Yes/no/unsure/hold),Notes,Public comment,User,Report Type
444222135,444222135.01,,3.038,,12.5494,N,N,,,FP(EB),N,Eccentric EB from outside sources,,bouma,
450087539,450087539.01,,1.75,,10.7271,N,N,Y,N,FP(EB),N,"Camera 1, CCD 3, Column 1173, Row 1470, Sector 5; Rp ~ 35.4 Re in Y1 qlp",,chiarello,qlp
8963901,8963901.01,,0.485,0.9639,11.2163,Y,N,,,FP(EB),N,Rp = 300 Re; non-transit signal,,lipponen,
13093071,13093071.01,,,25.0001,11.5758,Y,N,,,FP(EB),N,WINE single transit,,brahm,qlp
29667425,29667425.01,,,8.1135,10.2633,Y,N,,,FP(EB),N,Single transit; centroid offset but not centered on anything; background light spikes at epoch 1342,,lipponen,
39018208,39018208.02,,6.66,6.6493; 6.6495,11.1032,Y,N,,,FP(EB),N,2000 ppm secondary,,lipponen,
55659311,55659311.01,,,16.805; 16.756,9.7909,Y,N,,,FP(EB),N,Rp = 90 Re,,lipponen,
55659311,55659311.02,,,16.805; 16.756,9.7909,Y,N,,,FP(EB),N,Rp = 90 Re,,lipponen,
61710042,61710042.01,,1.888,0.94555,11.1366,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,qlp
65450588,65450588.01,,0.649,0.64873,11.1129,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",two stars in center pixel; needs SG1 to follow up,montalto,qlp
67747088,67747088.01,,,"6.7058, 12.7231",10.5169,Y,N,,,FP(EB),N,v-shaped; weak; centroid offset; Found with our in-house single transit finder; additional partial transit; Sector 32,,steuer,qlp
72985912,72985912.01,,1.68,1.68051,11.5147,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,qlp
91369561,91369561.01,,0.077,3.9837; 3.9875,10.9545,Y,N,,,FP(EB),N,Rp = 77 Re,,lipponen,
92349924,92349924.02,,,8.8031; 12.1403,10.8199,Y,N,,,FP(EB),N,Rp = 27 Re; v-shaped,,lipponen,
92349924,92349924.03,,,8.8031; 12.1403,10.8199,Y,N,,,FP(EB),N,Rp = 27 Re; v-shaped,,lipponen,
92896631,92896631.01,,5.639,5.6583,10.9191,Y,N,,,FP(EB),N,Looks good but could be too large; odd-even; recon spectra shows composite; likely SB2,,bouma,
100029948,100029948.01,,2.778,1.3888,11.6254,Y,N,,,FP(EB),N,Rp = 79 Re; odd-even,,lipponen,
100029948,100029948.02,,2.775,1.3888,11.6254,Y,N,,,FP(EB),N,Rp = 79 Re; odd-even,,lipponen,
124852105,124852105.01,,0.27,0.26952,12.168,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,
130469151,130469151.01,,2.403,,12.3078,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,
135243705,135243705.01,,2.659,2.65926,11.7929,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,
138941853,138941853.01,,11.59,11.6007,11.5716,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,
139825840,139825840.01,,7.668,3.844,5.64,Y,N,,,FP(EB),N,Rp = 267 Re,,lipponen,
139825840,139825840.02,,7.701,3.844,5.64,Y,N,,,FP(EB),N,Rp = 267 Re,,lipponen,
141268467,141268467.01,,4.181,2.0902; 2.0889,7.7088,Y,N,,,FP(EB),N,Rp = 164 Re,,lipponen,
141268467,141268467.02,,4.175,2.0902; 2.0889,7.7088,Y,N,,,FP(EB),N,Rp = 164 Re,,lipponen,
141307678,141307678.01,,15.891,7.9419,11.1534,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,
141622065,141622065.01,,2.952,1.464,9.7993,Y,N,,,FP(EB),N,Rp = 164 Re,,lipponen,
141622065,141622065.02,,3,1.464,9.7993,Y,N,,,FP(EB),N,Rp = 164 Re,,lipponen,
141809359,141809359.01,,12.149,12.1585; 12.1574,11.3725,Y,N,,,FP(EB),N,Rp = 179 Re,,lipponen,
150429807,150429807.01,,,26.2247; 15.2182,9.6161,Y,N,,,FP(EB),N,Rp = 43 Re,,lipponen,
150442264,150442264.01,,1.653,14.4139; 38.1634; 2.9817; 11.8572; 2.9818; 2.9817; 10.7795; 5.9614; 11.5175; 2.9818,6.2927,Y,N,,,FP(EB),N,EB,,lipponen,
151940400,151940400.01,,3.558,3.5576,11.0143,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,
153077619,153077619.01,,18.083,6.0256,8.0365,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,
153734545,153734545.01,,3.22,3.219,9.9302,Y,N,,,FP(EB),N,"radius 77 earth radii; new CTOI likely member of NGC 2527     , PATHOS-14 in Nardiello et al. (2020)",,nardiello,qlp
153735144,153735144.01,,3.779,3.7787,11.586,Y,N,,,FP(EB),N,"radius 31 earth radii; new CTOI likely member of NGC 2527     , PATHOS-15 in Nardiello et al. (2020)",,nardiello,qlp
158737091,158737091.01,,0.517,0.51718,11.0818,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,
178154917,178154917.01,,,"11.8511, 40.0917",9.6779,Y,N,,,FP(EB),N,WINE single transit,,brahm,qlp
180412528,180412528.01,,4.588,2.2936; 13.0032,10.758,Y,N,,,FP(EB),N,Eccentric EB,,lipponen,
180412528,180412528.02,,4.589,2.2936; 13.0032,10.758,Y,N,,,FP(EB),N,Eccentric EB,,lipponen,
198008002,198008002.01,,6.56,3.2797,10.3963,Y,N,,,FP(EB),N,"new CTOI; off target
",,gsun,qlp
200321330,200321330.01,,1.815,1.81523,11.1924,Y,N,,,FP(EB),N,"new CTOI, Montalto et al. (2020)",,montalto,
201256771,201256771.01,,3.755,1.8806,11.3801,Y,N,,,FP(EB),N,Rp = 42 Re,,lipponen,
201256771,201256771.02,,3.767,1.8806,11.3801,Y,N,,,FP(EB),N,Rp = 42 Re,,lipponen,
204497617,204497617.02,,3.18,1.5892; 1.5892,11.7963,Y,N,,,FP(EB),N,EB,,lipponen,
206462116,206462116.01,,2.974,1.4837,9.181,Y,N,,,FP(EB),N,Rp = 131 Re,,lipponen,
206462116,206462116.02,,2.969,1.4837,9.181,Y,N,,,FP(EB),N,Rp = 131 Re,,lipponen,
207080350,207080350.02,,18.382,6.2375; 9.1069; 9.1069,7.0938,Y,N,,,FP(EB),N,EB,,lipponen,
214517366,214517366.01,,,20.9616,10.4831,Y,N,,,FP(EB),N,Single transit; Rp = 27 Re,,lipponen,
