TIC,CTOI,Period (exofop),Period (TEV),Transit Epoch (BJD),Notes
395519975.0,395519975.01,,,2458789.137,"new CTOI, Montalto (2022)"
418184706.0,418184706.01,,,2459577.522,"TESS Sector 46, Camera 2, data: 418184706_SAP_LC"
201899356.0,201899356.01,3.109,,,"No report on TEV; new CTOI, Montalto et al. (2020)"
280692653.0,280692653.01,,,,
441808796.0,441808796.01,,,,
300013489.0,300013489.01,,,2459040.63,A Search for Exoplanet Candidates in TESS short cadence Lightcurves with Bayesian Detection: Taaki et al. in prep 2022
271443321.0,271443321.01,,,2458765.415,"new CTOI likely member of SAI 149, PATHOS-61 in Nardiello et al. (2021)"
188377183.0,188377183.01,,,2459600.99,Found with our in-house single transit finder; Sector 47
424805463.0,424805463.01,,,2458966.77,"new CTOI, Montalto (2022)"
467785319.0,467785319.01,,,,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
218233985.0,218233985.01,,,2459448.703,"TESS Sector 43, Camera 2, data: 218233985_SAP_LC"
70663347.0,70663347.01,,,2458807.771,"new CTOI, Montalto (2022)"
164781040.0,164781040.01,2.349,,,No report on TEV
186072225.0,186072225.01,,,2458608.4,WINE single transit
35377903.0,35377903.01,,,2459797.576,Planet candidates from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
308089071.0,308089071.01,5.5,,,"camera 2, ccd 4, column 1926, row 1991, sector 24"
376973804.0,376973804.01,,,,
51099561.0,51099561.01,,,2458849.132,single transit event from the TSTPC working group
264407995.0,264407995.01,,,2458494.243,DTARPS 278 in Melton+  arXiv:2302.06724
347702052.0,347702052.01,,,2458981.699,"new CTOI, Montalto (2022)"
392365181.0,392365181.01,,,2458868.022,"new CTOI, Montalto (2022)"
89288586.0,89288586.01,,,2459212.861,Found with our in-house single transit finder
157878913.0,157878913.01,,,2459637.796,Nguyen et al. (2022)
27896467.0,27896467.01,,,2459010.38,Possible two bodies in orbit around the main star as seen in the light curve
235903203.0,235903203.01,,,,
139270665.0,139270665.01,,,2459592.365,Found with our in-house single transit finder; Sector 47
34371411.0,34371411.01,,,2458468.603,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
199660056.0,199660056.01,,,2458928.911,single transit event from the TSTPC working group
