TIC,CTOI,Period (exofop),Period (TEV),Transit Epoch (BJD),Notes
230236827.0,230236827.01,,,2459034.825,"V-shaped, 68 transits"
229596702.0,229596702.01,,,2458683.354,"new CTOI, Montalto (2022)"
387610076.0,387610076.01,,,2459151.402,Found with our in-house single transit finder; Sector 31
71273694.0,71273694.01,,,2458325.062,"new CTOI, Montalto (2022)"
140804830.0,140804830.01,,,2458814.556,"new CTOI, Montalto (2022)"
285507262.0,285507262.01,,,2458790.154,"new CTOI, Montalto (2022)"
313240853.0,313240853.01,,,2458815.374,"new CTOI, Montalto (2022)"
219492050.0,219492050.01,,,2458955.221,"new CTOI, Montalto (2022)"
121724183.0,121724183.01,,,,Found with our in-house single transit finder
384883067.0,384883067.01,,,2458763.834,"new CTOI, Montalto (2022)"
92352621.0,92352621.01,,,2458328.299,DTARPS 105 in Melton+  arXiv:2302.06724
159614322.0,159614322.01,,,,
53843023.0,53843023.01,,,2458328.04,PHT candidate. Single transit event.
256741871.0,256741871.01,,,2458814.968,"new CTOI, Montalto (2022)"
378651225.0,378651225.01,,,2458764.273,"new CTOI, Montalto (2022)"
282502866.0,282502866.01,7.401,,,"No report on TEV; new CTOI, Montalto et al. (2020)"
251080032.0,251080032.01,,,2458866.446,"new CTOI, Montalto (2022)"
264537668.0,264537668.01,,,2458469.112,DTARPS 280 in Melton+  arXiv:2302.06724
243278072.0,243278072.01,26.673,,,V-shaped; too large
165602000.0,165602000.01,,,2458714.593,single transit (nominal period: 46 days)
460016903.0,460016903.01,,,2458983.455,"new CTOI, Montalto (2022)"
85504049.0,85504049.01,,,2458817.9,"Camera 2, CCD 2, Column 551, Rwo 594, Sector 19"
230112571.0,230112571.01,0.531,,,Odd-even; depth-aperture correlation
441417261.0,441417261.01,8.55,,,All data obtained with the LightKurve framework
281461138.0,281461138.01,5.211,0.65,,"No report on TEV for this signal. New CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
602870459.0,602870459.01,,,2458792.949,"new CTOI likely member of NGC 457, PATHOS-78 in Nardiello et al. (2021)"
288240183.0,288240183.01,119.05,,,No report on TEV; PHT candidate.
156457567.0,156457567.01,,,2458851.243,single transit event from the TSTPC working group
237342298.0,237342298.01,2.692,2.6922,,early year 1 report; priority 4/5; new CTOI
4292952.0,4292952.01,,,2458470.808,DTARPS 006 in Melton+  arXiv:2302.06724
320687387.0,320687387.01,,,2458678.785,single transit event from the TSTPC working group
351599985.0,351599985.01,,,2458983.063,"new CTOI, Montalto (2022)"
201735963.0,201735963.01,,,2458763.856,"new CTOI, Montalto (2022)"
450610413.0,450610413.01,,,2458600.682,"new CTOI likely member of Harvard 5    , PATHOS-29 in Nardiello et al. (2020)"
229708416.0,229708416.01,,,2458679.21,"new CTOI, Montalto (2022)"
272430494.0,272430494.01,,,2458572.808,DTARPS 298 in Melton+  arXiv:2302.06724
318013179.0,318013179.01,,,2458484.65,WINE single transit
157759665.0,157759665.01,,,2458673.15,"new CTOI, Montalto (2022)"
209457622.0,209457622.01,5.035,,,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
399784500.0,399784500.01,,,2459198.931,Found with our in-house single transit finder; Sector 32
253553257.0,253553257.01,,,2458679.433,Found with our in-house single transit finder; Sector 13
264333501.0,264333501.01,,,2459402.716,Found with our in-house single transit finder; Sector 40
86810143.0,86810143.01,,,2458842.347,"new CTOI, Montalto (2022)"
30275829.0,30275829.01,,,2459038.072,A Search for Exoplanet Candidates in TESS short cadence Lightcurves with Bayesian Detection: Taaki et al. in prep 2022
399074535.0,399074535.01,,,2459557.651,Nguyen et al. (2022)
125358479.0,125358479.01,,,,
30836645.0,30836645.01,,,2458604.604,Found with our in-house single transit finder
418373328.0,418373328.01,,,2458787.629,"new CTOI, Montalto (2022)"
237214311.0,237214311.01,,,2458694.455,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
67512645.0,67512645.01,,,2459639.259,Nguyen et al. (2022)
233190203.0,233190203.01,,,2458722.669,single transit event from the TSTPC working group
257554718.0,257554718.01,,,,
278664649.0,278664649.01,,,2458338.33,Sector 23
260657291.0,260657291.01,,,2458327.225,DTARPS 273 in Melton+  arXiv:2302.06724
285249796.0,285249796.01,,,,
312543349.0,312543349.01,,,,
116307482.0,116307482.01,,,2459665.541,Nguyen et al. (2022)
453123591.0,453123591.01,,,2458628.18,DTARPS 453 in Melton+  arXiv:2302.06724
166178400.0,166178400.01,,,2458622.641,"new CTOI, Montalto (2022)"
154927164.0,154927164.01,,,2459010.902,"Qual:B,PMS?,1.9e+07yr. Rp=(1.21-1.52)Rj. b=0.00-0.53 (3-97HDI)."
239617090.0,239617090.01,,,2458707.684,"new CTOI, Montalto (2022)"
156947629.0,156947629.01,,,2458464.984,"new CTOI, Montalto et al. (2020)"
198181553.0,198181553.01,1.411,1.411,,Significant odd-even; 31 Re
26412438.0,26412438.01,,,,
117772549.0,117772549.01,,,2458465.952,"new CTOI, Montalto et al. (2020)"
198390707.0,198390707.01,,,2459009.186,"seems to be a full planetary transit, but absurdly short period."
295176393.0,295176393.01,,,2458602.848,"new CTOI, Montalto et al. (2020)"
397072045.0,397072045.01,,,2458815.544,"new CTOI, Montalto (2022)"
268704157.0,268704157.01,,,2458687.744,Kepler candidate planet KOI-1154.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
141860204.0,141860204.01,,,2458704.734,"new CTOI, Montalto (2022)"
58843267.0,58843267.01,,,,
89620053.0,89620053.01,,,,No TEV report; Found with our in-house single transit finder
2236662.0,2236662.01,,,2458825.233,Single transit hosted by a very active M dwarf
219703887.0,219703887.01,,,2458676.08,"new CTOI, Montalto (2022)"
362088809.0,362088809.01,,,2458624.108,"new CTOI, Montalto (2022)"
161478895.0,161478895.01,4.867,,,"No report on TEV; new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
200516835.0,200516835.01,3.778,,,CDIPS report; looks ok
51861714.0,51861714.01,,,2458815.742,"new CTOI, Montalto (2022)"
37652870.0,37652870.01,,,,
144317256.0,144317256.01,,,2458570.255,"new CTOI, Montalto et al. (2020)"
316246231.0,316246231.01,,,,
142589416.0,142589416.01,,,2458681.752,"new CTOI, Montalto (2022)"
61404104.0,61404104.01,,,2458469.6,DTARPS 079 in Melton+  arXiv:2302.06724
267364341.0,267364341.01,,,2458324.953,"new CTOI, Montalto (2022)"
444898583.0,444898583.01,,,,
285233653.0,285233653.01,3.1,,,"camera 2, ccd 1, column 256, row 583, sector 17"
350517548.0,350517548.01,,,,
232632890.0,232632890.01,,,2458683.522,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
341105361.0,341105361.01,,,2458387.847,DTARPS 378 in Melton+  arXiv:2302.06724
273861354.0,273861354.01,,,2458312.738,"new CTOI, Montalto (2022)"
268534931.0,268534931.01,,,,No report on TEV; PHT candidate. Single transit event.
119767301.0,119767301.01,,,2458737.638,"new CTOI, Montalto (2022)"
125489144.0,125489144.01,,,,
28180816.0,28180816.01,,,2458815.398,"new CTOI, Montalto (2022)"
3027456.0,3027456.01,,,2458812.389,"new CTOI, Montalto (2022)"
6426639.0,6426639.01,,,2458492.29,All data ontained using the LightKurve framework
422270253.0,422270253.01,,,2458537.212,"new CTOI, Montalto (2022)"
165795955.0,165795955.01,,,2459521.48,79 days period ctoi from ffi sectors 44-47. Vetting attached
2015243161.0,2015243161.01,,,2458746.037,"new CTOI likely member of NGC 7245, PATHOS-82 in Nardiello et al. (2021)"
306449303.0,306449303.01,,,2459448.743,newCTOI
365096961.0,365096961.01,,,2458670.061,"new CTOI, Montalto (2022)"
50580647.0,50580647.01,,,2458496.51,All info obtained using the LightKurve framework
458382304.0,458382304.01,,,2459562.711,Found with our in-house single transit finder; Sector 46
398673587.0,398673587.01,,,2459118.325,WINE single transit
216986756.0,216986756.01,,,2458692.49,new CTOI
434208740.0,434208740.01,,,2458759.956,"new CTOI, Montalto (2022)"
268166705.0,268166705.01,,,2458685.227,Kepler candidate planet KOI-5308.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
67643229.0,67643229.01,,,2458380.834,"new CTOI, Montalto (2022)"
397053253.0,397053253.01,,,2459551.957,Nguyen et al. (2022)
458647366.0,458647366.01,,,,Found with our in-house single transit finder
435868942.0,435868942.01,,,2458327.388,DTARPS 439 in Melton+  arXiv:2302.06724
27344837.0,27344837.01,,,2458814.513,"new CTOI, Montalto (2022)"
7145074.0,7145074.01,,,,WINE single transit
308617923.0,308617923.01,,,2458790.21,"new CTOI, Montalto (2022)"
248687282.0,248687282.01,,,,Found with our in-house single transit finder; Sector 32
294501647.0,294501647.01,,,,Found with our in-house single transit finder
263601731.0,263601731.01,,,2458659.615,"new CTOI, Montalto (2022)"
235067594.0,235067594.01,8.295,8.2838,,"new CTOI, Montalto et al. (2020)"
82204651.0,82204651.01,,,2459534.26,PHT candidate. Single transit event.
409141608.0,409141608.01,,,2458333.692,sector1
389041242.0,389041242.01,,,,
70722784.0,70722784.01,14.454,,,"No report on TEV; new CTOI, Montalto et al. (2020)"
396601141.0,396601141.01,,,2458790.108,"new CTOI, Montalto (2022)"
47142025.0,47142025.01,,,,No report on TEV; Found with our in-house single transit finder
76299873.0,76299873.01,,,2459009.795,"new CTOI, Montalto (2022)"
209006017.0,209006017.01,,,2459376.09,PHT candidate. Additional transit in FFIs at ~1649.52 TBJD.
157892860.0,157892860.01,,,2458680.594,"new CTOI, Montalto (2022)"
286097964.0,286097964.01,,,,
359805399.0,359805399.01,,,,
275179540.0,275179540.01,,,2459274.14,Found with our in-house single transit finder
219396153.0,219396153.01,10.242,,,"No report on TEV; new CTOI, Montalto et al. (2020)"
135230723.0,135230723.01,,,2458951.624,"new CTOI, Montalto (2022)"
52555068.0,52555068.01,,,2458470.762,DTARPS 067 in Melton+  arXiv:2302.06724
111778581.0,111778581.01,,,2458348.706,"new CTOI, Montalto (2022)"
229446477.0,229446477.01,,,2458683.92,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
238379370.0,238379370.01,,,2458511.748,"new CTOI likely member of Velorum association, PATHOS-40 in Nardiello (2020)"
161687211.0,161687211.01,,,2458711.24,"new CTOI, Montalto (2022)"
168903062.0,168903062.01,2.674,,,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
459211741.0,459211741.01,,,2458675.276,"new CTOI, Montalto (2022)"
284564211.0,284564211.01,,,2458684.825,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
270920839.0,270920839.01,,,2458768.091,"new CTOI likely member of Czernik 44, PATHOS-60 in Nardiello et al. (2021)"
341631355.0,341631355.01,,,2458682.492,"new CTOI, Montalto (2022)"
188620407.0,188620407.01,,,,WINE single transit
155637265.0,155637265.01,,,2458681.537,"new CTOI, Montalto (2022)"
,36887038.01,,,,
36887038.0,36887038.01,,,2459701.669,Single transit event from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
99570132.0,99570132.01,,,,
248960573.0,248960573.01,,,2458404.897,Found with our in-house single transit finder
140444257.0,140444257.01,,,2458492.182,DTARPS 153 in Melton+  arXiv:2302.06724
39012975.0,39012975.01,,,2458837.443,"new CTOI, Montalto (2022)"
237597612.0,237597612.01,,,,Found with our in-house single transit finder
237116860.0,237116860.01,0.907,,,33 Re; significant depth-aperture correlation
130718055.0,130718055.01,,,,
398304905.0,398304905.01,,,2458790.305,"new CTOI, Montalto (2022)"
110718787.0,110718787.01,3.092,,,CDIPS report; variable star; some odd-even; seems to be off-target
199662939.0,199662939.01,2.296,2.294,,Centroid offset on another star
262330726.0,262330726.01,,,2458438.888,DTARPS 276 in Melton+  arXiv:2302.06724
192561556.0,192561556.01,,,2458542.485,"new CTOI, Montalto (2022)"
264485594.0,264485594.01,,,2458465.751,"new CTOI, Montalto et al. (2020)"
129979519.0,129979519.01,1.22,,,camera 1; ccd 2; column 816; row 1419; sector 18
123755508.0,123755508.01,,,2458492.575,"new CTOI likely member of Velorum association, PATHOS-38 in Nardiello (2020)"
144766817.0,144766817.01,,,2458577.071,DTARPS 165 in Melton+  arXiv:2302.06724
342004815.0,342004815.01,,,,"newCTOI,Single transit event; another single in Y1 at ~1539.5; these two singles are the shorter duration events but there are longer duration events filtered out in the detrending with a period of 39.5 days. However the shorter duration events happen consistently 14.1 days after the deep events; likely eccentric EB"
277021897.0,277021897.01,,,2459039.97,'A Search for Exoplanet Candidates in TESS short cadence Lightcurves with Bayesian Detection' Taaki et al. in prep 2022
22767596.0,22767596.01,,,2458492.128,DTARPS 030 in Melton+  arXiv:2302.06724
53247642.0,53247642.01,,,2458804.083,"new CTOI, Montalto (2022)"
27768855.0,27768855.01,,,2458683.483,"new CTOI, Montalto (2022)"
149508001.0,149508001.01,0.721,,,Corrected transit depth of 366.38 (+/-81.29) ppm; USP candidate
231346067.0,231346067.01,1.292,,,"No report on TEV; new CTOI, Montalto et al. (2020)"
95312476.0,95312476.01,,,2458869.43,"new CTOI, Montalto (2022)"
262570313.0,262570313.01,,,2458468.479,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
250650880.0,250650880.01,,,2458805.455,single transit event from the TSTPC working group
27841347.0,27841347.01,,,2458683.171,"new CTOI, Montalto (2022)"
311389718.0,311389718.01,,,2458810.762,"new CTOI, Montalto (2022)"
359648342.0,359648342.01,,,2458545.214,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
14440176.0,14440176.01,,,,
136798415.0,136798415.01,,,,
202059363.0,202059363.01,,,2458472.225,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
279401253.0,279401253.01,,,2459151.042,Found with our in-house single transit finder; transit finder output attached under 'Files'
30999876.0,30999876.01,,,2458438.369,"new CTOI, Montalto (2022)"
192831602.0,192831602.01,19.58,9.79587,,"new CTOI, Montalto et al. (2020)"
337835424.0,337835424.01,,,2458735.843,"new CTOI, Montalto (2022)"
63889661.0,63889661.01,2.971,,,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
311233661.0,311233661.01,,,,
2339182.0,2339182.01,,,2458815.857,"new CTOI, Montalto (2022)"
9567278.0,9567278.01,,,,
192014454.0,192014454.01,,,,
343320735.0,343320735.01,,,2458962.606,"possibly EB, secondary transit of ~74000 ppm- brown dwarf?"
326092637.0,326092637.01,,,2458382.05,"new CTOI, Montalto et al. (2020)"
13574905.0,13574905.01,,,2458710.734,"new CTOI, Montalto (2022)"
37497171.0,37497171.01,,,2458468.283,"new CTOI, Montalto et al. (2020)"
161169240.0,161169240.01,,,2459083.325,Found with our in-house single transit finder; transit finder output attached under 'Files'
229055790.0,229055790.01,0.0,,,No report
355881602.0,355881602.01,,,2459302.925,PHT candidate. Single transit event.
275703185.0,275703185.01,,,2458838.119,single transit event from the TSTPC working group
55441086.0,55441086.01,,,2458441.22,All data obtained using the lightkurve framework
233058262.0,233058262.01,,,2458698.281,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
299739645.0,299739645.01,,,2458513.013,Found with our in-house single transit finder
301980639.0,301980639.01,4.783,4.779524,,Large; v-shaped; possible secondary
394126269.0,394126269.01,3.858,,,"new CTOI, PATHOS-1 in Nardiello et al. (2019)"
271547901.0,271547901.01,,,2458684.24,Kepler candidate planet KOI-7973.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
176366125.0,176366125.01,,,2459191.169,Found with our in-house single transit finder; Sector 32
22317640.0,22317640.01,,,,WINE single transit
458451774.0,458451774.01,0.0,,,No report
60958874.0,60958874.01,,,,
373136570.0,373136570.01,,,,
300362600.0,300362600.01,,,2458602.169,"new CTOI likely member of NGC 5316     , PATHOS-19 in Nardiello et al. (2020)"
231969683.0,231969683.01,,13.9861,,Looks like a single; Found with our in-house single transit finder; Sector 32
219641816.0,219641816.01,,,2459296.108,PHT candidate. Single transit event.
236815262.0,236815262.01,,,2459401.098,newCTOI
220570288.0,220570288.01,,,2458356.233,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
396393272.0,396393272.01,,,2458763.503,"new CTOI, Montalto (2022)"
445717008.0,445717008.01,,,2458817.2,"Camera 2, CCD 4, Column 1414, Column 1212, Row 727, Sector 19, possible binary system"
73251118.0,73251118.01,,,2458841.686,"new CTOI, Montalto (2022)"
343834897.0,343834897.01,,,2458327.281,DTARPS 380 in Melton+  arXiv:2302.06724
143862255.0,143862255.01,,,2458814.1,"new CTOI, Montalto (2022)"
396290184.0,396290184.01,,,2458653.749,"new CTOI, Montalto (2022)"
13072758.0,13072758.01,,,2458455.595,WINE single transit
388803989.0,388803989.01,,,,
39535451.0,39535451.01,,,2458466.631,"new CTOI, Montalto (2022)"
287351976.0,287351976.02,1.924,,,Rp = 167 Re
333641964.0,333641964.01,,,2458437.812,"new CTOI, Montalto (2022)"
403693870.0,403693870.01,3.524,,,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
121990418.0,121990418.01,,,2459392.026,"ctoi Tess-Spoc sec 40-41, Triceratops vetting attached - FPP=0.017"
302173245.0,302173245.01,,,2458762.255,"new CTOI, Montalto (2022)"
159059181.0,159059181.01,,,2458471.198,"new CTOI likely member of NGC 2112     , PATHOS-16 in Nardiello et al. (2020)"
376524552.0,376524552.02,,,2458901.184,Corrected transit depth of 539.68 (+/-62.58)
359683436.0,359683436.01,,,,Found with our in-house single transit finder
170161682.0,170161682.01,,,2459213.681,PHT candidate. Note that the target it is a relatively crowded field.
88618301.0,88618301.01,,,2458710.613,"new CTOI, Montalto (2022)"
259884973.0,259884973.01,,,2458547.933,DTARPS 271 in Melton+  arXiv:2302.06724
38815574.0,38815574.01,20.429,10.2145,,"new CTOI, Montalto et al. (2020)"
212359877.0,212359877.01,,,,
123012736.0,123012736.01,,,2458685.02,Possible two planets as per light curve
231066944.0,231066944.01,,,2458470.035,DTARPS 246 in Melton+  arXiv:2302.06724
29786532.0,29786532.01,1.588,,,CDIPS report; V-shaped; very large
138683028.0,138683028.01,,,2458713.529,"Qual:B,CM,1.4e+08yr,OffTarget?. Rp=(0.60-0.93)Rj. b=0.04-0.74 (3-97HDI)."
441012828.0,441012828.01,,,2458327.205,new CTOI  detected in independent ELEANOR search by Tom Kaye
388402265.0,388402265.01,,,2459971.554,Planet candidates from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
305062358.0,305062358.01,,,2458708.038,"new CTOI, Montalto (2022)"
350190639.0,350190639.01,,,2458328.245,sector1
237098272.0,237098272.01,,,2458709.0,All data obtained using the lightkurve framework
50361536.0,50361536.01,,,2458793.465,"new CTOI likely member of NGC 1027, PATHOS-47 in Nardiello et al. (2021)"
141540100.0,141540100.01,,,2458815.661,"new CTOI, Montalto (2022)"
150105822.0,150105822.01,,,2458324.835,"new CTOI, Montalto (2022)"
368713985.0,368713985.01,4.093,4.0936,,"new CTOI, Montalto et al. (2020)"
233511188.0,233511188.01,,,2458682.982,"new CTOI, Montalto (2022)"
100776118.0,100776118.01,,,,Single transit event
127505662.0,127505662.01,,,,actual source is TIC 127505658 which was released as TOI 5564.01
160374965.0,160374965.01,,,2458927.087,"new CTOI, Montalto (2022)"
53309262.0,53309262.01,0.0,,,No report on TEV
27515765.0,27515765.01,,,2458816.82,All data are obtained using the LightKurve framework
158209498.0,158209498.01,,,2459038.078,Found with our in-house single transit finder; transit finder output attached under 'Files'
427943483.0,427943483.01,,,,
420015743.0,420015743.01,,,,
349575563.0,349575563.01,,,2458325.431,DTARPS 385 in Melton+  arXiv:2302.06724
154257696.0,154257696.01,,,2458735.115,"new CTOI, Montalto (2022)"
85406477.0,85406477.01,,,2458983.452,"new CTOI, Montalto (2022)"
248023451.0,248023451.01,,,2458711.373,"new CTOI, Montalto (2022)"
73496987.0,73496987.01,,,,
323717669.0,323717669.01,,,,
278199150.0,278199150.01,,,2458327.871,DTARPS 303 in Melton+  arXiv:2302.06724
95768667.0,95768667.01,,,2458818.35,Planet Hunters TESS candidate. Single transit event.
103913922.0,103913922.01,,,2458574.638,DTARPS 123 in Melton+  arXiv:2302.06724
251860880.0,251860880.01,,,2458759.373,"new CTOI, Montalto (2022)"
155916287.0,155916287.01,,,2458735.625,"new CTOI, Montalto (2022)"
260756218.0,260756218.01,2.0,1.955422,,Algol EB; synchronized with variability
312091232.0,312091232.01,,,2458515.819,"new CTOI, Montalto et al. (2020)"
83839341.0,83839341.01,,,2458597.585,"new CTOI, Montalto et al. (2020)"
269519402.0,269519402.01,,,2458806.272,"new CTOI likely member of Gulliver 49, PATHOS-57 in Nardiello et al. (2021)"
374352402.0,374352402.01,1.14,,,"No report on TEV; new CTOI, Montalto et al. (2020)"
293187375.0,293187375.01,,,2458787.366,"new CTOI, Montalto (2022)"
405253778.0,405253778.01,,,2458592.352,"new CTOI, Montalto (2022)"
274149220.0,274149220.01,,,2458623.132,"new CTOI, Montalto (2022)"
349647697.0,349647697.01,,,2458326.275,sector1
10747470.0,10747470.01,1.977,,,No report
178242751.0,178242751.01,5.296,,,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
27414976.0,27414976.01,,,2458741.338,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
274211741.0,274211741.01,,,2458435.773,"new CTOI, Montalto (2022)"
302186856.0,302186856.01,,,2458790.077,"new CTOI, Montalto (2022)"
154353598.0,154353598.01,,,2458738.334,"new CTOI, Montalto (2022)"
320092265.0,320092265.01,,,2458654.43,All the data are using the LightKurve framework
126797048.0,126797048.01,,,,newCTOI; single in s36 spoc
385636103.0,385636103.01,,,2458600.96,"Camera 2, CCD 2, Column 1487, Row 1525, Sector 11"
138707225.0,138707225.01,,,,
272432070.0,272432070.01,,,2458387.87,DTARPS 299 in Melton+  arXiv:2302.06724
267661228.0,267661228.01,,,,
341613529.0,341613529.01,,,2458680.226,"new CTOI, Montalto (2022)"
185779182.0,185779182.01,,,,
34798133.0,34798133.01,,,2459036.51,All data obtained using LightKurve framework
467522800.0,467522800.01,,,2458571.831,Possible HJ in IC2602; likely EB; 2x TLS period.
158984285.0,158984285.01,,,2458710.701,"new CTOI, Montalto (2022)"
48139432.0,48139432.01,,,2458733.446,single transit event from the TSTPC working group
168702709.0,168702709.01,,,,Found with our in-house single transit finder; Sector 31
137604961.0,137604961.01,,,2458681.153,"new CTOI, Montalto (2022)"
283477114.0,283477114.01,,,2458762.139,"new CTOI, Montalto (2022)"
388850377.0,388850377.01,,,2458466.818,"new CTOI, Montalto et al. (2020)"
229675762.0,229675762.01,,,2458684.027,Cycle 2 CVZ planet candidates added to short cadence from GI Program G022227; prelim vetting with DAVE
410119093.0,410119093.01,,,2458657.624,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
219018744.0,219018744.01,,,2459441.395,Found with our in-house single transit finder; Sector 41
308739770.0,308739770.01,,,2458516.808,"new CTOI, Montalto (2022)"
64837857.0,64837857.04,,,2459880.899,Single transit event from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
350274840.0,350274840.01,,,2459037.092,A Search for Exoplanet Candidates in TESS short cadence Lightcurves with Bayesian Detection: Taaki et al. in prep 2022
190736332.0,190736332.01,,,,
167085203.0,167085203.01,15.517,,,"No report on TEV; new CTOI, Montalto et al. (2020)"
27858644.0,27858644.01,,,2459017.12,FP: Contaminated transit from nearby EB
147335089.0,147335089.01,,,2458322.955,"new CTOI, Montalto (2022)"
87884695.0,87884695.01,1.19,,,Possible W Ursae Majoris type variables (EW) with secondary companion that gets occultated and occults in a strict orbit
264318873.0,264318873.01,0.551,0.55069,,"new CTOI, Montalto et al. (2020)"
349373226.0,349373226.01,,,2458325.137,"new CTOI, Montalto et al. (2020)"
153949511.0,153949511.03,,,,
80255594.0,80255594.01,,,2458355.078,"new CTOI, Montalto (2022)"
269033446.0,269033446.01,,,,
88586022.0,88586022.01,,,2458711.356,"new CTOI, Montalto (2022)"
9570501.0,9570501.01,,,2458982.983,"new CTOI, Montalto (2022)"
276915898.0,276915898.01,,,2458759.457,single transit event from the TSTPC working group
302453291.0,302453291.01,,,2458321.283,"new CTOI, Montalto (2022)"
158835095.0,158835095.01,,,2458684.52,Kepler candidate planet KOI-1251.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
278825345.0,278825345.01,,,2458332.214,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
158656337.0,158656337.01,,,2459009.312,"new CTOI, Montalto (2022)"
109929845.0,109929845.01,4.763,,,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
67600790.0,67600790.01,,,2458630.476,"Hot superNept. PMS M dwarf (Zari+18). Prot  0.8d, RotAmp 5%."
900106078.0,900106078.01,,,2458898.956,"new CTOI, Montalto (2022)"
450300489.0,450300489.01,,,2458865.801,"new CTOI, Montalto (2022)"
25765538.0,25765538.01,,,2458763.867,"new CTOI, Montalto (2022)"
211854402.0,211854402.01,,,2458630.321,"Likely EB. PMS (Zari+18), Teff 5000K, Prot 5d, ampltiude 2%."
469775147.0,469775147.01,,,2458326.136,DTARPS 457 in Melton+  arXiv:2302.06724
159761678.0,159761678.01,,,2458684.749,Kepler candidate planet KOI-6195.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
292319626.0,292319626.01,,,2458789.142,"new CTOI, Montalto (2022)"
396242561.0,396242561.01,,,2458779.544,"new CTOI, Montalto (2022)"
16478898.0,16478898.01,,,2458840.68,"new CTOI, Montalto (2022)"
63069576.0,63069576.01,,,2458682.466,"new CTOI, Montalto (2022)"
85504872.0,85504872.01,,,2458814.259,"new CTOI, Montalto (2022)"
186810853.0,186810853.01,,,2458786.736,"new CTOI, Montalto (2022)"
333736132.0,333736132.01,,,,"newCTOI, Single transit"
180791665.0,180791665.01,,,2458324.554,"new CTOI, Montalto (2022)"
26947356.0,26947356.01,,,2458765.23,Possible 2 planets as the curve shows 2 distinct depths of different size
431656151.0,431656151.01,,,2458953.823,"new CTOI, Montalto (2022)"
456909420.0,456909420.01,,,2458779.411,PHT candidate. Single transit event.
348608380.0,348608380.01,,,2458806.922,"new CTOI likely member of NGC 884, PATHOS-69 in Nardiello et al. (2021)"
468178519.0,468178519.01,,,2458626.064,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
230389303.0,230389303.01,7.69,7.697,,Centroid offset on another star
98794593.0,98794593.01,,,2459169.317,PHT candidate. Single transit event.
14030804.0,14030804.01,,,2458410.483,"new CTOI, Montalto (2022)"
68906031.0,68906031.01,,,2458842.492,"new CTOI, Montalto (2022)"
270789373.0,270789373.01,,,2458673.097,"new CTOI, Montalto (2022)"
246976997.0,246976997.01,,,2459482.722,Found with our in-house single transit finder; Sector 43
25879023.0,25879023.01,,,2458630.51,"Crowded. HJ or EB. Collinder 307 (CG18, 30Myr). pmDec off."
52871678.0,52871678.01,,,2458466.933,"new CTOI, Montalto (2022)"
138169785.0,138169785.01,,,2458849.84,single transit event from the TSTPC working group
191082907.0,191082907.01,,,2458764.755,Planet candidates from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
267542728.0,267542728.01,,,2458708.49,PHT candidate.
352820295.0,352820295.01,,,2458708.685,"new CTOI, Montalto (2022)"
21618487.0,21618487.01,,,2458469.058,DTARPS 024 in Melton+  arXiv:2302.06724
190992110.0,190992110.01,,,2458763.881,"new CTOI, Montalto (2022)"
280613644.0,280613644.01,3.721,,,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
19026420.0,19026420.01,,,,No TEV report; Found with our in-house single transit finder
11085362.0,11085362.01,,,2458436.635,"new CTOI, Montalto (2022)"
154562343.0,154562343.01,,,2458710.443,"new CTOI, Montalto (2022)"
254304169.0,254304169.01,,,2458354.031,"new CTOI, Montalto et al. (2020)"
120232318.0,120232318.01,,,2458742.194,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
260167199.0,260167199.01,,,,
