TIC,CTOI,Period (days),Transit Epoch (BJD),Notes
67651371,67651371.01,nan,2458888.703,Found with our in-house single transit finder; transit finder output attached under 'Files'
67707363,67707363.01,9.715,2458925.063,"new CTOI, Montalto (2022)"
67884964,67884964.01,nan,2458868.013,PHT candidate. Two transit events separated by ~721.57 d. Signal at TJD~2589.0 is due to background event.
68216297,68216297.01,0.643,2458842.272,"new CTOI, Montalto (2022)"
68326706,68326706.01,nan,2458630.537,Found with our in-house single transit finder; Sector 12
68489030,68489030.01,4.624,2458679.506,"new CTOI, Montalto (2022)"
68543654,68543654.01,0.449,2458842.388,"new CTOI, Montalto (2022)"
68623218,68623218.01,5.618,2458680.702,"new CTOI, Montalto (2022)"
68646526,68646526.02,8.511,nan,Second PC found in K2 data; K2 epoch of 2994.790777
68665559,68665559.01,0.704,2459009.783,"new CTOI, Montalto (2022)"
68687000,68687000.01,2.027,2458844.508,From Sector 20 SPOC FFIs; need to check if the signal is on-target
68906031,68906031.01,5.361,2458842.492,"new CTOI, Montalto (2022)"
68936204,68936204.01,5.082,2458951.741,"new CTOI, Montalto (2022)"
69745398,69745398.01,nan,2459083.162,Found with our in-house single transit finder; transit finder output attached under 'Files'
70663347,70663347.01,8.734,2458807.771,"new CTOI, Montalto (2022)"
70722784,70722784.01,14.454,2458350.548,"new CTOI, Montalto et al. (2020)"
70927362,70927362.01,0.221,2458815.937,"new CTOI, Montalto (2022)"
71133316,71133316.01,7.641,2458444.879,DTARPS 091 in Melton+  arXiv:2302.06724
71273694,71273694.01,1.201,2458325.062,"new CTOI, Montalto (2022)"
71295401,71295401.01,6.22,2458848.54,Possible two planets as per light curve
71431434,71431434.01,7.208,2458842.321,"new CTOI, Montalto (2022)"
71488258,71488258.01,0.999,2459989.418,Planet candidates from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
71518575,71518575.01,2.196,2458841.257,"new CTOI, Montalto (2022)"
72669209,72669209.01,nan,2458392.22,Found with our in-house single transit finder
72757019,72757019.01,4.043,2458571.575,DTARPS 092 in Melton+  arXiv:2302.06724
72931000,72931000.01,1.825,2458569.478,"new CTOI, Montalto (2022)"
73007817,73007817.01,7.373,2459991.983,Planet candidates from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
73251118,73251118.01,1.833,2458841.686,"new CTOI, Montalto (2022)"
73485270,73485270.01,1.537,2458491.829,DTARPS 095 in Melton+  arXiv:2302.06724
73496987,73496987.01,nan,2458558.826,single transit event from the TSTPC working group
73731443,73731443.01,1.8,2458814.454,"new CTOI, Montalto (2022)"
75651978,75651978.01,2.637,2458982.408,"new CTOI, Montalto (2022)"
76042621,76042621.01,1.782,2459009.405,"new CTOI, Montalto (2022)"
76140400,76140400.01,0.0,2459012.829,Found with our in-house single transit finder; transit finder output attached under 'Files'
76252511,76252511.01,1.119,2459009.535,"new CTOI, Montalto (2022)"
76299873,76299873.01,0.746,2459009.795,"new CTOI, Montalto (2022)"
76707975,76707975.01,1.203,2458600.02,DTARPS 096 in Melton+  arXiv:2302.06724
77137037,77137037.01,0.993,2458899.293,"new CTOI, Montalto (2022)"
77173027,77173027.01,14.598,2459644.945,Nguyen et al. (2022)
77255326,77255326.01,2.272,2458411.631,"new CTOI, Montalto (2022)"
77287067,77287067.01,4.076,2458411.391,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
77370025,77370025.01,12.338,2458427.276,"new CTOI, Montalto et al. (2020)"
77490011,77490011.01,2.688,2458788.699,"new CTOI, Montalto (2022)"
77524109,77524109.01,3.669,2458519.963,DTARPS 097 in Melton+  arXiv:2302.06724
77560191,77560191.01,nan,2459259.44,Found with our in-house single transit finder
78012416,78012416.01,14.649,2458427.706,"new CTOI, Montalto et al. (2020)"
78669098,78669098.01,0.578,2458492.079,DTARPS 098 in Melton+  arXiv:2302.06724
79172641,79172641.01,0.892,2458492.599,DTARPS 099 in Melton+  arXiv:2302.06724
79212406,79212406.01,1.254,2458469.266,DTARPS 100 in Melton+  arXiv:2302.06724
80255594,80255594.01,0.406,2458355.078,"new CTOI, Montalto (2022)"
80315892,80315892.01,6.159,2458356.351,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
80317933,80317933.01,3.21,2458625.529,"new CTOI likely member of Collinder 292, PATHOS-05 in Nardiello et al. (2020)"
80419101,80419101.01,4.404,2458353.804,"new CTOI, Montalto (2022)"
80429950,80429950.01,2.541,2458352.574,"new CTOI, Montalto (2022)"
80435273,80435273.01,nan,2458768.008,single transit event from the TSTPC working group
80946619,80946619.01,nan,2458857.769,single transit event from the TSTPC working group
81077799,81077799.02,1.63,2460015.928,Planet candidates from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
81089255,81089255.01,nan,2459260.207,PHT single transit event. Note that the field is very crowded.
81353413,81353413.01,2.087,2458492.869,"new CTOI likely member of Velorum association, PATHOS-35 in Nardiello (2020)"
81600531,81600531.01,1.738,2458790.385,"new CTOI, Montalto (2022)"
81790160,81790160.01,3.922,2458515.91,"new CTOI, Montalto (2022)"
82011246,82011246.01,3.51,2458792.13,All data are obtained using the LIghtKurve framework
82204651,82204651.01,nan,2459534.26,PHT candidate. Single transit event.
82205179,82205179.01,5.097,2459608.964,Nguyen et al. (2022)
82407001,82407001.01,5.589,2458954.021,"new CTOI, Montalto (2022)"
82550215,82550215.01,nan,2459712.686,Found with our in-house single transit finder; Sector 51
82696443,82696443.01,1.11,2458815.689,"new CTOI, Montalto (2022)"
83391903,83391903.01,2.477,2458600.393,DTARPS 101 in Melton+  arXiv:2302.06724
83839341,83839341.01,5.588,2458597.585,"new CTOI, Montalto et al. (2020)"
84357072,84357072.01,0.543,2458842.493,"new CTOI, Montalto (2022)"
84990650,84990650.01,1.649,2458815.965,"new CTOI, Montalto (2022)"
85142299,85142299.01,4.64,2458839.649,"new CTOI, Montalto (2022)"
85371626,85371626.01,2.07,2458817.87,All data are obtained using the LightKurve framework
85377339,85377339.01,2.551,2458982.308,"new CTOI, Montalto (2022)"
85406477,85406477.01,0.454,2458983.452,"new CTOI, Montalto (2022)"
85485452,85485452.01,7.62,2458784.098,"new CTOI, Montalto (2022)"
85504049,85504049.01,3.25,2458817.9,"Camera 2, CCD 2, Column 551, Rwo 594, Sector 19"
85504872,85504872.01,1.903,2458814.259,"new CTOI, Montalto (2022)"
85597635,85597635.01,7.298,2458785.342,"new CTOI, Montalto (2022)"
86119201,86119201.01,nan,2459518.394,Found with our in-house single transit finder; Sector 44
86184105,86184105.01,9.735,2458842.102,"new CTOI, Montalto (2022)"
86265698,86265698.01,1.908,2458841.181,"new CTOI, Montalto (2022)"
86433395,86433395.01,nan,2459677.238,PHT candidate. Caution of nearby companion star on same TESS pixel.
86810143,86810143.01,0.81,2458842.347,"new CTOI, Montalto (2022)"
86810852,86810852.01,2.872,2458839.808,"new CTOI, Montalto (2022)"
87304178,87304178.01,nan,2458835.4,single transit event from the TSTPC working group
87884695,87884695.01,1.19,2458816.24,Possible W Ursae Majoris type variables (EW) with secondary companion that gets occultated and occults in a strict orbit
88024647,88024647.01,2.208,2458869.6,"new CTOI, Montalto (2022)"
88571421,88571421.01,3.191,2458416.573,DTARPS 102 in Melton+  arXiv:2302.06724
88586022,88586022.01,0.965,2458711.356,"new CTOI, Montalto (2022)"
88618301,88618301.01,2.371,2458710.613,"new CTOI, Montalto (2022)"
89258104,89258104.01,nan,2458342.773,Found with our in-house single transit finder
89288586,89288586.01,nan,2459212.861,Found with our in-house single transit finder
89330719,89330719.01,nan,2459070.333,Found with our in-house single transit finder; transit finder output attached under 'Files'
89620053,89620053.01,nan,2459263.861,Found with our in-house single transit finder
91251292,91251292.02,13.091,2459469.82,Second Neptune-sized planet in the system
91987487,91987487.01,nan,2458879.358,Found with our in-house single transit finder; transit finder output attached under 'Files'; W Shaped
92352621,92352621.01,3.95,2458328.299,DTARPS 105 in Melton+  arXiv:2302.06724
92444219,92444219.01,39.52,2458342.473,Planet candidates identified in https://arxiv.org/pdf/1812.08145.pdf
92447866,92447866.01,0.912,2458325.705,"new CTOI, Montalto (2022)"
92835691,92835691.01,22.366,2458527.825,"new CTOI likely member of SAI 91       , PATHOS-07 in Nardiello et al. (2020)"
92866460,92866460.01,19.16,2458308.905,"new CTOI, Montalto et al. (2020)"
93275779,93275779.01,0.914,2458518.352,"Cand super-Neptune, IC2391 (~80Myr; CG18). PMS M dwarf; faint."
93420346,93420346.01,5.823,2458464.602,"new CTOI, Montalto (2022)"
94423678,94423678.01,1.422,2458631.202,"Hot Jup. PMS M dwarf (Zari+18), Prot 2d?, Tdur a bit long."
94589619,94589619.01,12.083,2458496.198,"new CTOI likely member of NGC 2437     , PATHOS-08 in Nardiello et al. (2020)"
94984950,94984950.01,15.836,2459368.807,newCTOI
95003423,95003423.01,1.527,2458630.461,"new CTOI likely member of Lupus association  , PATHOS-37 in Nardiello (2020)"
95111024,95111024.01,1.017,2458493.099,DTARPS 108 in Melton+  arXiv:2302.06724
95112238,95112238.01,1.362,2458467.176,"new CTOI, Montalto et al. (2020)"
95312476,95312476.01,1.373,2458869.43,"new CTOI, Montalto (2022)"
95661771,95661771.01,2.43,2459502.395,Ultra-Hot Neptune candidate
95768667,95768667.01,0.0,2458818.35,Planet Hunters TESS candidate. Single transit event.
95857505,95857505.01,nan,2458918.377,Found with our in-house single transit finder; transit finder output attached under 'Files'
95927079,95927079.01,3.47,2458897.763,"new CTOI, Montalto (2022)"
96157127,96157127.01,0.99,2458635.0,All data obtained with the LightKurve framework
97156957,97156957.01,4.22,2458468.474,DTARPS 109 in Melton+  arXiv:2302.06724
97255991,97255991.01,nan,2459587.787,Found with our in-house single transit finder; Sector 47
97472236,97472236.01,0.639,2458898.867,"new CTOI, Montalto (2022)"
97479438,97479438.01,0.611,2458413.683,DTARPS 112 in Melton+  arXiv:2302.06724
97861072,97861072.01,1.837,2458439.141,DTARPS 113 in Melton+  arXiv:2302.06724
97975207,97975207.01,4.19,2458570.23,All data are obtained using the Ligh Kurve framework
98383826,98383826.01,0.926,2458470.517,DTARPS 114 in Melton+  arXiv:2302.06724
98672702,98672702.01,15.129,2458371.508,"new CTOI, Montalto et al. (2020)"
98794593,98794593.01,nan,2459169.317,PHT candidate. Single transit event.
98796344,98796344.02,3.124,2458412.58,low SNR for a second PC
99319615,99319615.01,2.008,2458710.872,"new CTOI, Montalto (2022)"
99569532,99569532.01,0.629,2458842.071,"new CTOI, Montalto (2022)"
99570132,99570132.01,nan,2459583.714,Additional transit in FFI Sector 20 at ~1844.18 BTJD.
99652177,99652177.01,0.981,2458842.282,"new CTOI, Montalto (2022)"
99673151,99673151.01,nan,2458346.815,Found with our in-house single transit finder
99728663,99728663.01,1.359,2458841.728,"new CTOI, Montalto (2022)"
99823641,99823641.01,4.63,2458681.109,"new CTOI, Montalto (2022)"
99834321,99834321.01,8.131,2459584.39,Nguyen et al. (2022)
99865630,99865630.01,1.15,2458683.124,"new CTOI, Montalto (2022)"
99989903,99989903.01,19.749,2458683.213,"new CTOI, Montalto (2022)"
100103201,100103201.01,14.553,2458363.666,Corrected transit depth of 1146.44 (+/-234.59) ppm; only Cycle 1 data used
100103201,100103201.02,31.552,2458371.137,Corrected transit depth of 3218.53 (+/-614.29) ppm; within inner HZ but too big to be rocky
100104872,100104872.01,1.964,2458383.155,"new CTOI, Montalto (2022)"
100504488,100504488.01,999.0,2459056.75,"Followed and characterised by NGTS, CORALIE, and HARPS"
100504488,100504488.02,999.0,2459041.13,"Followed and characterised by NGTS, CORALIE, and HARPS"
100504488,100504488.03,999.0,2459056.23,"Followed and characterised by NGTS, CORALIE, and HARPS"
100665013,100665013.01,nan,2459178.59,Found with our in-house single transit finder; Sector 32
100776118,100776118.01,nan,2459219.653,Single transit event
100918213,100918213.01,0.256,2458383.562,"new CTOI, Montalto et al. (2020)"
100990000,100990000.03,47.424,2458425.167,Only two transits; 47.4d is the minimum possible orbital period
101179725,101179725.01,11.739,2458648.339,"new CTOI, Montalto et al. (2020)"
101219991,101219991.01,1.605,2458789.421,"new CTOI, Montalto (2022)"
101569362,101569362.01,1.93,2458844.11,"Camera 1, CCD 3, Column 2067, Row 121, Sector 20"
101624192,101624192.01,2.34,2458898.612,"new CTOI, Montalto (2022)"
101641905,101641905.01,0.0,2458917.25,PHT candidate. Single transit event.
101641905,101641905.02,4.308,2458904.577,PHT multi transit events. Low SNR.
101730811,101730811.01,0.443,2458571.212,DTARPS 119 in Melton+  arXiv:2302.06724
101923957,101923957.01,0.185,2458983.565,"new CTOI, Montalto (2022)"
101991992,101991992.01,2.737,2458355.861,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
102064145,102064145.01,4.392,2458358.765,DTARPS 120 in Melton+  arXiv:2302.06724
102080051,102080051.01,3.607,2458568.98,"new CTOI, Montalto (2022)"
102808915,102808915.01,19.636,2458807.184,"new CTOI, Montalto (2022)"
102923946,102923946.01,4.897,2458678.729,"new CTOI, Montalto (2022)"
102951242,102951242.01,2.081,2458816.041,"new CTOI, Montalto (2022)"
103174622,103174622.01,8.347,2458811.223,"new CTOI, Montalto (2022)"
103180795,103180795.01,10.078,2458808.741,"new CTOI, Montalto (2022)"
103225834,103225834.01,0.737,2458983.138,"new CTOI, Montalto (2022)"
103321203,103321203.01,2.288,2458470.265,DTARPS 122 in Melton+  arXiv:2302.06724
103692994,103692994.01,4.924,2458681.935,"new CTOI, Montalto (2022)"
103913922,103913922.01,4.282,2458574.638,DTARPS 123 in Melton+  arXiv:2302.06724
103938530,103938530.01,1.6,2458570.388,"new CTOI, Montalto (2022)"
104195270,104195270.01,3.686,2458792.626,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
105488812,105488812.01,4.051,2458868.139,"new CTOI, Montalto (2022)"
105850602,105850602.01,nan,2459007.421,V/U shaped single transit
106235729,106235729.01,4.055,2458684.418,"new CTOI likely member of NGC 6871, PATHOS-51 in Nardiello et al. (2021)"
109929845,109929845.01,4.763,2458494.648,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
110718787,110718787.01,3.092,2458494.429,Cand HJ in Haffner13 (30 Myr; CG18). Strong rot var.  PMs a bit off. (CDIPS; Bouma+19)
111363968,111363968.01,1.633,2458382.511,"new CTOI, Montalto et al. (2020)"
111750317,111750317.01,2.536,2458470.536,DTARPS 124 in Melton+  arXiv:2302.06724
111778581,111778581.01,11.417,2458348.706,"new CTOI, Montalto (2022)"
112987554,112987554.01,1.411,2458657.066,"new CTOI, Montalto (2022)"
113247981,113247981.01,1.509,2458469.87,DTARPS 125 in Melton+  arXiv:2302.06724
113918063,113918063.01,nan,2459521.949,Found with our in-house single transit finder; Sector 44
114056098,114056098.01,3.062,2458657.056,"new CTOI, Montalto (2022)"
114987571,114987571.01,13.021,2458492.349,DTARPS 127 in Melton+  arXiv:2302.06724
115171750,115171750.01,0.0,2458986.43,single transit
115620634,115620634.01,3.74,2458761.853,"new CTOI, Montalto (2022)"
115693377,115693377.01,4.928,2458356.645,DTARPS 128 in Melton+  arXiv:2302.06724
115779261,115779261.01,3.45,2458735.336,"new CTOI, Montalto (2022)"
115942852,115942852.01,3.212,2458354.561,"new CTOI, Montalto (2022)"
116010909,116010909.01,1.162,2458789.589,"new CTOI, Montalto (2022)"
116307482,116307482.01,7.355,2459665.541,Nguyen et al. (2022)
116497708,116497708.01,6.67,2458796.26,camera: 2; ccd: 4; column: 898; row: 145; sector: 18
116756420,116756420.01,1.63,2458792.18,All info obtained using the lightKurve framework
116887189,116887189.01,0.806,2458796.403,RV binary from Brown+ 2020 (arXiv:2002.00014). Previously considered WD candidate; TESS shows it to be eclipsing
117378334,117378334.01,8.856,2458866.384,"new CTOI, Montalto (2022)"
117644481,117644481.01,0.251,2458439.011,"new CTOI, Montalto et al. (2020)"
117772549,117772549.01,7.879,2458465.952,"new CTOI, Montalto et al. (2020)"
118208859,118208859.01,0.679,2458518.635,DTARPS 131 in Melton+  arXiv:2302.06724
118339710,118339710.01,nan,2458525.648,WINE single transit
118389230,118389230.01,3.757,2458787.146,"new CTOI, Montalto (2022)"
119241628,119241628.01,3.118,2458468.132,"new CTOI, Montalto (2022)"
119357781,119357781.01,3.795,2458466.233,"new CTOI, Montalto (2022)"
119685627,119685627.01,5.032,2458472.76,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
119767301,119767301.01,1.274,2458737.638,"new CTOI, Montalto (2022)"
120099463,120099463.01,4.695,2458681.994,"new CTOI, Montalto (2022)"
120182692,120182692.01,2.335,2458681.966,"new CTOI, Montalto (2022)"
120199940,120199940.01,1.499,2458492.224,DTARPS 134 in Melton+  arXiv:2302.06724
120232318,120232318.01,3.62,2458742.194,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
120232321,120232321.01,3.62,2458742.194,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
120238206,120238206.01,1.869,2458737.282,"new CTOI, Montalto (2022)"
120355606,120355606.01,4.644,2458683.014,"new CTOI, Montalto (2022)"
120963388,120963388.01,2.765,2458681.42,"new CTOI, Montalto (2022)"
121158392,121158392.01,1.276,2458412.838,"new CTOI, Montalto (2022)"
121636363,121636363.01,0.0,2459184.357,Single transit event
121724183,121724183.01,nan,2458621.243,Found with our in-house single transit finder
121990418,121990418.01,2.349,2459392.026,"ctoi Tess-Spoc sec 40-41, Triceratops vetting attached - FPP=0.017"
122620177,122620177.01,2.57,2458815.386,"new CTOI, Montalto (2022)"
122870280,122870280.01,0.949,2458468.307,DTARPS 137 in Melton+  arXiv:2302.06724
123012736,123012736.01,4.06,2458685.02,Possible two planets as per light curve
123125197,123125197.01,13.211,2458670.292,"new CTOI, Montalto (2022)"
123627758,123627758.01,0.677,2458518.266,DTARPS 138 in Melton+  arXiv:2302.06724
123755508,123755508.01,15.287,2458492.575,"new CTOI likely member of Velorum association, PATHOS-38 in Nardiello (2020)"
124922266,124922266.01,2.729,2458469.016,DTARPS 141 in Melton+  arXiv:2302.06724
125192758,125192758.01,1.731,2458492.689,"Giant PC in M50, 100Myr star; rot variable. Parallax a tad low, but within CG18's M50 members.  (CDIPS; Bouma+19)"
125358479,125358479.01,5.01,2458492.51,"Camera 2, CCD 3, Column 634, Row 647, Sector 7"
125414447,125414447.01,3.707,2458493.2,"new CTOI likely member of NGC 2323     , PATHOS-09 in Nardiello et al. (2020)"
125489144,125489144.01,nan,2458787.652,single transit event from the TSTPC working group
126098688,126098688.01,5.914,2458795.63,Signal displays possible TTVs
126278294,126278294.01,nan,2459570.23,Found with our in-house single transit finder; Sector 46
126600730,126600730.01,6.299,2458497.305,"new CTOI likely member of Haffner 14   , PATHOS-10 in Nardiello et al. (2020)"
126797048,126797048.01,nan,2459284.358,newCTOI
126982911,126982911.01,2.994,2459450.207,ctoi from Tess-Spoc Sec 42-43 - Vetting attached (Triceratops)
126984335,126984335.01,nan,2459490.366,Found with our in-house single transit finder; Sector 43
127505662,127505662.01,nan,2458840.54,single transit event from the TSTPC working group
128703021,128703021.01,0.0,2458601.85,Planet Hunters TESS candidate. Single transit event.
129004128,129004128.01,1.17,2458738.558,"new CTOI, Montalto (2022)"
129103090,129103090.01,6.271,2458734.776,"new CTOI, Montalto (2022)"
129203523,129203523.01,1.727,2458737.296,"new CTOI, Montalto (2022)"
129204392,129204392.01,5.566,2458733.342,"new CTOI, Montalto (2022)"
129711632,129711632.01,1.16,2458324.978,"new CTOI, Montalto (2022)"
129762963,129762963.01,1.046,2458791.793,"Qual:A,NotCM?,1.2e+09yr. Wrn: mean(R)=1.166. Rp=(0.59-3.40)Rj. b=0.12-1.08 (3-97HDI)."
129904995,129904995.01,4.179,2458786.545,"new CTOI, Montalto (2022)"
129979519,129979519.01,1.22,2458791.38,camera 1; ccd 2; column 816; row 1419; sector 18
130370378,130370378.01,nan,2459231.752,single transit (nominal period: 490 days)
130613275,130613275.01,8.477,2458484.85,"new CTOI, Montalto et al. (2020)"
130718055,130718055.01,nan,2458897.82,PHT candidate. Possible period 207.65 d. Unusual transit shape needs to be investigated. Events close to momentum dumps.
133260600,133260600.01,1.424,2458518.477,"Probably EB, else HJ in Vela OB2 pop2 (<50Myr, CG19)."
133323306,133323306.01,1.095,2458558.324,"Cand 1.1d HJ, Theia 988 (~500Myr; KC19). Short period rotn(?) signal too. Multisector."
134549022,134549022.01,11.534,2458483.825,"new CTOI, Montalto et al. (2020)"
134631912,134631912.01,1.06,2458569.59,All info obtained using the Light Kurve framework
134649962,134649962.01,3.945,2458571.8,DTARPS 144 in Melton+  arXiv:2302.06724
135145585,135145585.01,1.51,2458569.693,"new CTOI, Montalto et al. (2020)"
135163289,135163289.01,1.028,2458439.411,DTARPS 147 in Melton+  arXiv:2302.06724
135230723,135230723.01,6.776,2458951.624,"new CTOI, Montalto (2022)"
135268489,135268489.01,3.702,2459007.496,6 transits. star variable with similar period (3.83 days)
135367053,135367053.01,2.758,2458568.736,"new CTOI, Montalto et al. (2020)"
136324903,136324903.01,nan,2458715.0,Transit detected for spectral type M3.5V star
136798415,136798415.01,nan,2459468.626,Found with our in-house single transit finder; Sector 42
137389526,137389526.01,3.912,2458820.004,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
137504771,137504771.01,1.78,2458815.128,"new CTOI, Montalto (2022)"
137604961,137604961.01,3.616,2458681.153,"new CTOI, Montalto (2022)"
137605485,137605485.01,2.604,2458681.095,"new CTOI, Montalto (2022)"
137769705,137769705.01,14.81,2458678.013,"new CTOI, Montalto (2022)"
137889083,137889083.01,1.15,2458869.358,"new CTOI, Montalto (2022)"
137966491,137966491.01,nan,2458797.156,single transit event from the TSTPC working group
138169785,138169785.01,nan,2458849.84,single transit event from the TSTPC working group
138176261,138176261.01,1.46,2458841.554,"new CTOI, Montalto (2022)"
138330843,138330843.01,1.198,2458815.469,"new CTOI, Montalto (2022)"
138332311,138332311.01,14.488,2458810.956,"new CTOI, Montalto (2022)"
138346833,138346833.01,14.458,2458815.676,"new CTOI, Montalto (2022)"
138351298,138351298.01,nan,2459445.057,Found with our in-house single transit finder; Sector 41
138446376,138446376.01,8.371,2458837.937,"new CTOI, Montalto (2022)"
138664795,138664795.01,7.395,2459612.498,Nguyen et al. (2022)
138683028,138683028.01,1.917,2458713.529,"Qual:B,CM,1.4e+08yr,OffTarget?. Rp=(0.60-0.93)Rj. b=0.04-0.74 (3-97HDI)."
138707225,138707225.01,nan,2458369.653,Found with our in-house single transit finder
139052254,139052254.01,5.447,2458895.816,"new CTOI, Montalto (2022)"
139118147,139118147.01,0.513,2458899.004,"new CTOI, Montalto (2022)"
139147770,139147770.01,nan,2458327.625,WINE single transit
139270665,139270665.01,nan,2459592.365,Found with our in-house single transit finder; Sector 47
139353927,139353927.01,0.934,2458789.84,"new CTOI, Montalto (2022)"
139403953,139403953.01,0.443,2458790.443,"new CTOI, Montalto (2022)"
139409215,139409215.01,nan,2458804.958,single transit event from the TSTPC working group
139423295,139423295.01,10.537,2458435.993,"new CTOI, Montalto et al. (2020)"
139456051,139456051.01,2.842,2458325.362,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
139470998,139470998.01,121.8,2458394.987,Planet Hunters TESS candidate.
139474683,139474683.01,3.203,2458470.15,inflated hot Jupiter candidate orbiting evolved star
139726266,139726266.01,nan,2459180.861,Found with our in-house single transit finder; Sector 32
140067408,140067408.01,0.894,2458493.224,DTARPS 152 in Melton+  arXiv:2302.06724
140215502,140215502.01,nan,2459194.45,Found with our in-house single transit finder; Sector 32
140284423,140284423.01,9.439,2458429.225,"new CTOI, Montalto et al. (2020)"
140381887,140381887.01,13.59,2458475.94,"Camera 1, CCD 4, Column 427, Sector 6, Row 1260"
140444257,140444257.01,2.449,2458492.182,DTARPS 153 in Melton+  arXiv:2302.06724
140804830,140804830.01,2.778,2458814.556,"new CTOI, Montalto (2022)"
140864472,140864472.01,1.196,2458815.194,"new CTOI, Montalto (2022)"
140900726,140900726.01,4.65,2459039.35,A Search for Exoplanet Candidates in TESS short cadence Lightcurves with Bayesian Detection: Taaki et al. in prep 2022
140935850,140935850.01,2.082,2458815.948,"new CTOI, Montalto (2022)"
140978827,140978827.01,8.299,2458549.494,"Cand WJ, BH 34 (70Myr; KC19). Quite deep. (Maybe EB)."
141129527,141129527.01,5.541,2458709.483,"new CTOI, Montalto (2022)"
141160020,141160020.01,12.937,2459622.286,ctoi Sec 48-49 Tess-Spoc -Vetting attached
141428309,141428309.01,nan,2459040.899,Found with our in-house single transit finder; transit finder output attached under 'Files'
141522677,141522677.01,nan,2459410.614,PHT candidate. Single transit event.
141524447,141524447.01,33.02,2458784.495,"new CTOI, Montalto (2022)"
141540100,141540100.01,0.489,2458815.661,"new CTOI, Montalto (2022)"
141582431,141582431.01,3.131,2458814.752,"new CTOI, Montalto (2022)"
141584976,141584976.01,2.621,2458815.721,"new CTOI, Montalto (2022)"
141811446,141811446.01,3.57,2459037.12,A Search for Exoplanet Candidates in TESS short cadence Lightcurves with Bayesian Detection: Taaki et al. in prep 2022
141860204,141860204.01,8.784,2458704.734,"new CTOI, Montalto (2022)"
141866704,141866704.01,1.42,2459037.281,A Search for Exoplanet Candidates in TESS short cadence Lightcurves with Bayesian Detection: Taaki et al. in prep 2022
141979734,141979734.01,24.533,2458317.495,"new CTOI, Montalto et al. (2020)"
142088310,142088310.01,2.323,2458814.659,"new CTOI, Montalto (2022)"
142103253,142103253.01,0.949,2458815.976,"new CTOI, Montalto (2022)"
142305141,142305141.01,1.96,2458382.324,"new CTOI, Montalto et al. (2020)"
142305910,142305910.01,2.903,2458382.723,"new CTOI, Montalto (2022)"
142491574,142491574.01,1.36,2458682.245,"new CTOI, Montalto (2022)"
142534582,142534582.01,1.359,2458841.429,"new CTOI, Montalto (2022)"
142583775,142583775.01,4.783,2458680.822,"new CTOI, Montalto (2022)"
142589416,142589416.01,2.095,2458681.752,"new CTOI, Montalto (2022)"
142648205,142648205.01,17.633,2458631.824,WINE warm jupiter candidate
142673457,142673457.01,1.951,2458387.704,DTARPS 157 in Melton+  arXiv:2302.06724
142862446,142862446.01,1.359,2458841.428,"new CTOI, Montalto (2022)"
142933407,142933407.01,5.192,2458871.207,"Qual:A,PMS?,2.1e+07yr. Rp=(0.79-5.00)Rj. b=0.43-1.72 (3-97HDI)."
142935906,142935906.01,10.942,2458682.758,"new CTOI, Montalto (2022)"
142984508,142984508.01,1.368,2458471.954,DTARPS 158 in Melton+  arXiv:2302.06724
143858329,143858329.01,12.847,2458571.746,DTARPS 160 in Melton+  arXiv:2302.06724
143862255,143862255.01,2.34,2458814.1,"new CTOI, Montalto (2022)"
143907118,143907118.01,0.772,2458468.996,DTARPS 161 in Melton+  arXiv:2302.06724
143996634,143996634.01,4.927,2458327.406,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
144011696,144011696.01,nan,2458822.386,single transit event from the TSTPC working group
144100224,144100224.01,2.779,2458841.875,"new CTOI, Montalto (2022)"
144164538,144164538.01,3.128,2458382.227,"new CTOI, Montalto et al. (2020)"
144317256,144317256.01,1.505,2458570.255,"new CTOI, Montalto et al. (2020)"
144426921,144426921.01,3.106,2458572.395,DTARPS 163 in Melton+  arXiv:2302.06724
144766817,144766817.01,6.017,2458577.071,DTARPS 165 in Melton+  arXiv:2302.06724
144995073,144995073.01,20.021,2458518.823,"new CTOI likely member of NGC 2669     , PATHOS-11 in Nardiello et al. (2020)"
145601161,145601161.01,nan,2458566.086,new CTOI single transit
146259128,146259128.01,0.79,2458491.94,"Camera 2, CCD 2, Column 1987, Row 16, Sector 7"
146333231,146333231.01,10.35,2458501.1,"Camera 2, CCD 2, Column 1990, Row 79, Sector 7"
146436542,146436542.01,0.744,2458440.165,DTARPS 167 in Melton+  arXiv:2302.06724
