TIC,CTOI,Period (days),Transit Epoch (BJD),Notes
16249522,16249522.01,8.277,2458948.61,"new CTOI, Montalto (2022)"
16271601,16271601.01,nan,2459714.213,Single transit event from the XESP working group. Details at: http://xjltp.china-vo.org/xesp.html
16312021,16312021.01,3.179,2458680.779,"new CTOI, Montalto (2022)"
16317477,16317477.01,3.02,2458686.239,"Qual:B,NotCM?,2.8e+07yr. Wrn: mean(R)=1.130. Rp=(0.75-2.96)Rj. b=0.06-1.02 (3-97HDI)."
16326602,16326602.01,nan,2458507.249,Found with our in-house single transit finder
16478898,16478898.01,2.301,2458840.68,"new CTOI, Montalto (2022)"
16490297,16490297.01,2.571,2458492.954,DTARPS 018 in Melton+  arXiv:2302.06724
16651258,16651258.01,8.202,2458836.866,"new CTOI, Montalto (2022)"
16725913,16725913.01,4.956,2458679.028,"new CTOI, Montalto (2022)"
16769119,16769119.01,3.029,2458840.573,"new CTOI, Montalto (2022)"
16842739,16842739.01,1.697,2458683.175,"new CTOI, Montalto (2022)"
16999099,16999099.01,0.884,2458955.064,"new CTOI, Montalto (2022)"
17129975,17129975.01,4.555,2458680.219,"new CTOI, Montalto (2022)"
17141821,17141821.01,0.443,2458870.407,"new CTOI, Montalto (2022)"
17538651,17538651.01,4.05,2458953.532,"new CTOI, Montalto (2022)"
17933174,17933174.01,1.09,2458898.968,"new CTOI, Montalto (2022)"
18022314,18022314.01,4.8,2458897.464,"new CTOI, Montalto (2022)"
18380164,18380164.01,3.307,2458981.721,"new CTOI, Montalto (2022)"
18648237,18648237.01,2.915,2458491.766,DTARPS 019 in Melton+  arXiv:2302.06724
19026420,19026420.01,nan,2458493.955,Found with our in-house single transit finder
19680613,19680613.01,3.489,2458514.612,"new CTOI, Montalto (2022)"
20320305,20320305.01,0.944,2458519.725,DTARPS 022 in Melton+  arXiv:2302.06724
20346619,20346619.01,3.624,2458682.899,"new CTOI, Montalto (2022)"
20424851,20424851.01,0.97,2458495.287,DTARPS 023 in Melton+  arXiv:2302.06724
20823655,20823655.01,6.014,2458680.007,"new CTOI, Montalto (2022)"
21269575,21269575.01,4.901,2458838.556,"new CTOI, Montalto (2022)"
21439718,21439718.01,1.288,2458869.785,"new CTOI, Montalto (2022)"
21618487,21618487.01,3.589,2458469.058,DTARPS 024 in Melton+  arXiv:2302.06724
21639186,21639186.01,4.731,2458574.869,DTARPS 025 in Melton+  arXiv:2302.06724
21720215,21720215.01,2.275,2458981.483,"new CTOI, Montalto (2022)"
21961030,21961030.01,8.927,2458975.102,"new CTOI, Montalto (2022)"
22142764,22142764.01,4.004,2458469.016,DTARPS 026 in Melton+  arXiv:2302.06724
22203201,22203201.01,1.449,2459009.635,"new CTOI, Montalto (2022)"
22317640,22317640.01,nan,2458589.38,WINE single transit
22391604,22391604.01,2.97,2458570.45,"Camera 2, CCD 3, Column 1281, Row 1609, Sector 10"
22642076,22642076.01,1.546,2458493.087,DTARPS 029 in Melton+  arXiv:2302.06724
22642772,22642772.01,nan,2459207.709,Found with our in-house single transit finder
22738835,22738835.01,2.722,2458788.258,"new CTOI, Montalto (2022)"
22744846,22744846.01,0.514,2458898.967,"new CTOI, Montalto (2022)"
22751984,22751984.01,8.601,2458897.293,"new CTOI, Montalto (2022)"
22767596,22767596.01,2.557,2458492.128,DTARPS 030 in Melton+  arXiv:2302.06724
22903120,22903120.01,4.91,2458924.228,"new CTOI, Montalto (2022)"
23003727,23003727.01,0.63,2459009.863,"new CTOI, Montalto (2022)"
23138732,23138732.01,4.558,2458410.982,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
23671957,23671957.01,3.098,2458840.468,"new CTOI, Montalto (2022)"
24106900,24106900.01,12.951,2458944.247,"new CTOI, Montalto (2022)"
24251313,24251313.01,0.64,2458385.539,"new CTOI, Montalto et al. (2020)"
24539196,24539196.01,11.227,2458524.715,DTARPS 031 in Melton+  arXiv:2302.06724
24725031,24725031.01,0.533,2458438.44,Eclipsing binary candidate in Pisces-Eridanus stellar stream
24795168,24795168.01,nan,2458764.885,PHT candidate. Single transit event. We caution that the event is close to a momentum dump.
24821583,24821583.01,3.436,2458465.984,"new CTOI, Montalto (2022)"
25227021,25227021.01,nan,2459080.521,Found with our in-house single transit finder; transit finder output attached under 'Files'
25314899,25314899.01,3.367,2458765.685,Host star is likely to be very young
25472026,25472026.01,4.243,2458761.955,"new CTOI, Montalto (2022)"
25758307,25758307.01,0.903,2458765.291,"USP Candidate, low s2n"
25765538,25765538.01,0.886,2458763.867,"new CTOI, Montalto (2022)"
25879023,25879023.01,2.049,2458630.51,"Crowded. HJ or EB. Collinder 307 (CG18, 30Myr). pmDec off."
25923058,25923058.01,8.551,2458761.592,"new CTOI, Montalto (2022)"
26137588,26137588.01,6.484,2458762.048,"new CTOI, Montalto (2022)"
26264354,26264354.01,0.29,2458543.686,"new CTOI, Montalto et al. (2020)"
26412438,26412438.01,1.034,2458684.503,"Qual:A,CM,2.4e+07yr. Rp=(0.69-0.81)Rj. b=0.00-0.16 (3-97HDI)."
26474800,26474800.01,0.806,2458684.549,Kepler candidate planet KOI-8078.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
26493474,26493474.01,1.56,2458684.32,Data are obtained using the LightKurve framework
26726940,26726940.01,2.374,2458763.228,"new CTOI, Montalto (2022)"
26748546,26748546.01,5.902,2458688.033,Kepler candidate planet KOI-6085.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
26813962,26813962.01,4.624,2458679.505,"new CTOI, Montalto (2022)"
26877693,26877693.01,6.232,2458678.157,"new CTOI, Montalto (2022)"
26880046,26880046.01,0.553,2458683.437,"new CTOI, Montalto (2022)"
26947356,26947356.01,6.82,2458765.23,Possible 2 planets as the curve shows 2 distinct depths of different size
26971461,26971461.01,1.177,2458869.406,"new CTOI, Montalto (2022)"
27133479,27133479.01,8.85,2459670.184,Nguyen et al. (2022)
27233531,27233531.01,13.611,2458681.758,"new CTOI, Montalto (2022)"
27312599,27312599.01,14.709,2458678.373,"new CTOI, Montalto (2022)"
27344837,27344837.01,2.136,2458814.513,"new CTOI, Montalto (2022)"
27354439,27354439.01,0.486,2458738.791,"USP Candidate, low s2n"
27414976,27414976.01,3.976,2458741.338,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
27515765,27515765.01,0.86,2458816.82,All data are obtained using the LightKurve framework
27541714,27541714.01,nan,2459520.083,Found with our in-house single transit finder; Sector 44
27549827,27549827.01,nan,2459501.853,Found with our in-house single transit finder; Sector 44
27550937,27550937.01,nan,2459563.268,Found with our in-house single transit finder; Sector 46
27670294,27670294.01,1.236,2458815.713,"new CTOI, Montalto (2022)"
27768855,27768855.01,1.923,2458683.483,"new CTOI, Montalto (2022)"
27841347,27841347.01,2.561,2458683.171,"new CTOI, Montalto (2022)"
27847307,27847307.01,2.498,2458684.541,Kepler confirmed planet KOI-1416.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep)
27858644,27858644.01,nan,2459017.12,FP: Contaminated transit from nearby EB
27896467,27896467.01,8.25,2459010.38,Possible two bodies in orbit around the main star as seen in the light curve
27986571,27986571.01,nan,2458402.15,WD single transit (nominal period: 41000 years!!!)
28019424,28019424.01,1.36,2458814.804,"new CTOI, Montalto (2022)"
28180816,28180816.01,3.229,2458815.398,"new CTOI, Montalto (2022)"
28638238,28638238.01,6.513,2458678.462,"new CTOI, Montalto (2022)"
28754926,28754926.01,5.84,2458820.239,"Qual:A,CM,3.3e+08yr,MissingRot?. Rp=(0.97-1.14)Rj. b=0.00-0.19 (3-97HDI)."
29170565,29170565.01,3.659,2458867.473,"new CTOI, Montalto (2022)"
29430403,29430403.01,1.878,2458325.712,"new CTOI, Montalto et al. (2020)"
