TIC,CTOI,TOI,Period (exofop),Period (TEV),TESS mag,In TEV?,Eph match?,Data on PDO?,Upload to TEV?,TEV Disposition,Alert? (Yes/no/unsure/hold),Notes,Public comment,User,Report Type
27990610,27990610.01,4482.01,2.815,,14.4889,N,N,,,-,-,No report on TEV,Kepler confirmed planet KOI-767.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),wilson,
29169215,29169215.01,5584.01,,,10.7314,N,N,,,-,-,No report on TEV; Planet Hunters TESS candidate. Single transit event.,,eisner,
29953537,29953537.01,,0.731,,10.2097,N,N,,,-,-,Corrected transit depth of 160.92 (+/-12.21) ppm; USP candidate; possibly two stars in same pixel,,spencer,
29989691,29989691.01,,7.195,,9.837,N,N,,,-,-,Corrected transit depth of 214.7 (+/-7.6) ppm; Marginal PC; within southern Continuous Viewing Zone,,spencer,
30654608,30654608.01,,2.496,,10.5145,N,N,,,-,-,"No report on TEV; new CTOI likely member of Muzzio 1     , PATHOS-02 in Nardiello et al. (2020)",,nardiello,
32451836,32451836.01,,,,9.6535,N,N,N,-,-,-,"No TEV report; Camera 2, CCD 3, Column 2023, Row 1622, Sector 3",,chiarello,
32677675,32677675.01,2704.01,3.637,,12.7063,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
34798133,34798133.01,,4.62,,5.959,N,N,,,-,-,All data obtained using LightKurve framework,,chiarello,
35022727,35022727.01,4530.01,3.652,,12.2192,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
35636165,35636165.01,2776.01,3.459,,13.3684,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
36595388,36595388.01,,1.738,,14.2346,N,N,,,-,-,No report on TEV,,bouma,
37167097,37167097.01,,1.98,,11.7504,N,N,,,-,-,All info obtained using the LightKurve framework,,chiarello,
37497171,37497171.01,,0.636,,9.5645,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
37862966,37862966.01,2581.01,3.584,,12.9754,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
38399060,38399060.01,2692.01,3.652,,13.3717,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
39291805,39291805.01,,7.172,,15.2969,N,N,,,-,-,"new CTOI likely member of NGC 2112     , PATHOS-03 in Nardiello et al. (2020)",,nardiello,
39724477,39724477.01,2729.01,4.035,,12.263,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
42524156,42524156.01,,10.013,,10.6032,N,N,,,-,-,"new CTOI likely member of ASCC 88      , PATHOS-04 in Nardiello et al. (2020)",,nardiello,
43475220,43475220.01,2703.01,18.52,,13.3652,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
43785616,43785616.01,,,,11.1602,N,N,,,-,-,Found with our in-house finder; Sector 32,,steuer,
45357107,45357107.01,,2.177,,12.1886,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
45896295,45896295.01,2921.01,3.005,,12.8854,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
47625466,47625466.01,,8.26,,11.8334,N,N,,,-,-,"Possible two planets, as the light curve shows two different kind of depths",,chiarello,
48882295,48882295.01,,,,12.8725,N,N,,,-,-,Found with our in-house single transit finder,,steuer,
49043968,49043968.01,,12.492,,11.6337,N,N,,,-,-,WINE warm jupiter candidate,,brahm,
49045066,49045066.01,2992.01,3.007,,11.9728,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
50580647,50580647.01,,4.91,,10.3745,N,N,,,-,-,All info obtained using the LightKurve framework,,chiarello,
51238317,51238317.01,,14.261,,10.7496,N,N,,,-,-,Found with our in-house single transit finder; Sector 20,,steuer,
52059926,52059926.01,2530.01,,,12.7296,N,N,,,-,-,WINE single transit,,brahm,
52745699,52745699.01,,3.166,,13.7471,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
53309262,53309262.01,,0,,14.128,N,N,,,-,-,No report on TEV,PHT candidate. Single Transit event.,eisner,
53461742,53461742.01,,4.412,,13.2956,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
53843023,53843023.01,,0,,10.3852,N,N,,,-,-,No report,PHT candidate. Single transit event.,eisner,
55441086,55441086.01,,4.16,,12.1225,N,N,,,-,-,All data obtained using the lightkurve framework,,chiarello,
55446876,55446876.01,,5.59,,10.9951,N,N,,,-,-,All data obtained using the lightkurve framework,,chiarello,
55849732,55849732.01,,5.371,,13.5803,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
56096837,56096837.01,2700.01,4.664,,12.0698,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
56099207,56099207.01,,,,9.0061,N,N,,,-,-,Found with our in-house single transit finder; Sector 32,,steuer,
59942318,59942318.01,,,,11.7347,N,N,,,-,-,Found with our in-house single transit finder,,steuer,
60111182,60111182.01,,0.37,,11.3291,N,N,,,-,-,All data obtained with the LightKurve framework,,chiarello,
62618413,62618413.01,,7.02,,10.2913,N,N,,,-,-,All data obtained using the LightKurve framework,,chiarello,
62632191,62632191.01,,,,14.7437,N,N,N,-,-,-,No TEV report; Found with our in-house single transit finder,,steuer,
63452790,63452790.01,4434.01,2.686,,13.814,N,N,,,-,-,No report on TEV,Kepler confirmed planet KOI-183.01: Recovered in FFI data with TraSH-DUMP (new transit-search pipeline in prep),wilson,
63889661,63889661.01,,2.971,,13.7721,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
66296167,66296167.01,,3.412,,13.7471,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
67599025,67599025.01,,,,11.9577,N,N,,,-,-,"WINE single transit, another transit in S30",,brahm,
67600790,67600790.01,,0.961,,12.6358,N,N,,,-,-,No report on TEV,,bouma,
67651371,67651371.01,,,,11.9672,N,N,,,-,-,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files',,steuer,
69745398,69745398.01,,,,9.82195,N,N,,,-,-,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files',,steuer,
70524163,70524163.01,2421.01,4.348,,10.6918,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
70722784,70722784.01,,14.454,,12.3743,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
71295401,71295401.01,,6.22,,10.5551,N,N,,,-,-,Possible two planets as per light curve,,chiarello,
74274839,74274839.01,2919.01,4.695,,12.5917,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
74712191,74712191.01,4852.01,7.231,,11.8422,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
76140400,76140400.01,,0,,10.6226,N,N,,,-,-,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files',,eisner,
77287067,77287067.01,,4.076,,13.5861,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
77370025,77370025.01,,12.338,,12.3466,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
77437543,77437543.01,2490.01,,,11.2759,N,N,,,-,-,WINE single transit,,brahm,
77560191,77560191.01,,,,12.0941,N,N,N,-,-,-,No TEV report; Found with our in-house single transit finder,,steuer,
78012416,78012416.01,,14.649,,10.9144,N,N,,,-,-,"No report on TEV; new CTOI, Montalto et al. (2020)",,montalto,
78441371,78441371.01,2763.01,3.998,,11.996,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
80317933,80317933.01,,3.21,,13.0067,N,N,,,-,-,"new CTOI likely member of Collinder 292, PATHOS-05 in Nardiello et al. (2020)",,nardiello,
81353413,81353413.01,,2.087,,14.1822,N,N,,,-,-,"new CTOI likely member of Velorum association, PATHOS-35 in Nardiello (2020)",,nardiello,
82011246,82011246.01,,3.51,,12.9473,N,N,,,-,-,All data are obtained using the LIghtKurve framework,,chiarello,
83154030,83154030.01,2528.01,11.719,,12.9363,N,N,,,-,-,WINE warm jupiter candidate,,brahm,
85429139,85429139.01,4015.01,4.743,,10.767,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
85504049,85504049.01,,3.25,,10.9327,N,N,N,-,-,-,"No TEV report; Camera 2, CCD 2, Column 551, Rwo 594, Sector 19",,chiarello,
87884695,87884695.01,,1.19,,11.4015,N,N,,,-,-,Possible W Ursae Majoris type variables (EW) with secondary companion that gets occultated and occults in a strict orbit,,chiarello,
88385463,88385463.01,3822.01,3.123,,12.3381,N,N,,,-,-,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.,,olmschenk,
89288586,89288586.01,,,,9.19124,N,N,,,-,-,Found with our in-house single transit finder,,steuer,
89330719,89330719.01,,,,9.2118,N,N,,,-,-,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files',,steuer,
91987487,91987487.01,,,,8.81022,N,N,,,-,-,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'; W Shaped,,steuer,
92835691,92835691.01,,22.366,,14.6866,N,N,,,-,-,"new CTOI likely member of SAI 91       , PATHOS-07 in Nardiello et al. (2020)",,nardiello,
