TIC,CTOI,Period (exofop),Period (TEV),Notes
52745699.0,52745699.01,3.166,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
53309262.0,53309262.01,0,nan,No report on TEV
53461742.0,53461742.01,4.412,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
53843023.0,53843023.01,0,nan,No report
55441086.0,55441086.01,4.16,nan,All data obtained using the lightkurve framework
55446876.0,55446876.01,5.59,nan,All data obtained using the lightkurve framework
55849732.0,55849732.01,5.371,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
56096837.0,56096837.01,4.664,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
56099207.0,56099207.01,nan,nan,Found with our in-house single transit finder; Sector 32
59942318.0,59942318.01,nan,nan,Found with our in-house single transit finder
60111182.0,60111182.01,0.37,nan,All data obtained with the LightKurve framework
62618413.0,62618413.01,7.02,nan,All data obtained using the LightKurve framework
62632191.0,62632191.01,nan,nan,No TEV report; Found with our in-house single transit finder
63452790.0,63452790.01,2.686,nan,No report on TEV
63889661.0,63889661.01,2.971,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
66296167.0,66296167.01,3.412,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
67599025.0,67599025.01,nan,nan,"WINE single transit, another transit in S30"
67600790.0,67600790.01,0.961,nan,No report on TEV
67651371.0,67651371.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
69745398.0,69745398.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
70524163.0,70524163.01,4.348,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
70722784.0,70722784.01,14.454,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
71295401.0,71295401.01,6.22,nan,Possible two planets as per light curve
74274839.0,74274839.01,4.695,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
74712191.0,74712191.01,7.231,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
76140400.0,76140400.01,0,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
77287067.0,77287067.01,4.076,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
77370025.0,77370025.01,12.338,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
77437543.0,77437543.01,nan,nan,WINE single transit
77560191.0,77560191.01,nan,nan,No TEV report; Found with our in-house single transit finder
78012416.0,78012416.01,14.649,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
78441371.0,78441371.01,3.998,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
80317933.0,80317933.01,3.21,nan,"new CTOI likely member of Collinder 292, PATHOS-05 in Nardiello et al. (2020)"
81353413.0,81353413.01,2.087,nan,"new CTOI likely member of Velorum association, PATHOS-35 in Nardiello (2020)"
82011246.0,82011246.01,3.51,nan,All data are obtained using the LIghtKurve framework
83154030.0,83154030.01,11.719,nan,WINE warm jupiter candidate
85429139.0,85429139.01,4.743,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
85504049.0,85504049.01,3.25,nan,"No TEV report; Camera 2, CCD 2, Column 551, Rwo 594, Sector 19"
87884695.0,87884695.01,1.19,nan,Possible W Ursae Majoris type variables (EW) with secondary companion that gets occultated and occults in a strict orbit
88385463.0,88385463.01,3.123,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
89288586.0,89288586.01,nan,nan,Found with our in-house single transit finder
89330719.0,89330719.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
91987487.0,91987487.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'; W Shaped
92835691.0,92835691.01,22.366,nan,"new CTOI likely member of SAI 91       , PATHOS-07 in Nardiello et al. (2020)"
92866460.0,92866460.01,19.16,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
94423678.0,94423678.01,1.422,nan,No report on TEV
94589619.0,94589619.01,12.083,nan,"new CTOI likely member of NGC 2437     , PATHOS-08 in Nardiello et al. (2020)"
95003423.0,95003423.01,1.527,nan,"new CTOI likely member of Lupus association  , PATHOS-37 in Nardiello (2020)"
95589845.0,95589845.01,3.566,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
95768667.0,95768667.01,0,nan,No report
95857505.0,95857505.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
96157127.0,96157127.01,0.99,nan,All data obtained with the LightKurve framework
97975207.0,97975207.01,4.19,nan,All data are obtained using the Ligh Kurve framework
98672702.0,98672702.01,15.129,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
100665013.0,100665013.01,nan,nan,Found with our in-house single transit finder; Sector 32
100776118.0,100776118.01,nan,nan,Single transit event
101179725.0,101179725.01,11.739,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
101641905.0,101641905.01,0,nan,No report on TEV
102713734.0,102713734.01,3.398,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
103751498.0,103751498.01,3.715,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
104195270.0,104195270.01,3.686,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
104986789.0,104986789.01,3.458,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
105379013.0,105379013.01,3.295,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
105850602.0,105850602.01,nan,nan,No report
107340585.0,107340585.01,2.689,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
109929845.0,109929845.01,4.763,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
110996418.0,110996418.01,0,nan,No report
111363968.0,111363968.01,1.633,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
112316665.0,112316665.01,3.748,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
115171750.0,115171750.01,0,nan,No report
115453244.0,115453244.01,3.823,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
116756420.0,116756420.01,1.63,nan,All info obtained using the lightKurve framework
117772549.0,117772549.01,7.879,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
118339710.0,118339710.01,nan,nan,WINE single transit
119685627.0,119685627.01,5.032,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
120232318.0,120232318.01,3.62,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
120232321.0,120232321.01,3.62,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
121636363.0,121636363.01,0,nan,Single transit event
121724183.0,121724183.01,nan,nan,Found with our in-house single transit finder
122441491.0,122441491.01,3.801,nan,No report on TEV
122596693.0,122596693.01,3.523,nan,No report on TEV
123012736.0,123012736.01,4.06,nan,Possible two planets as per light curve
123755508.0,123755508.01,15.287,nan,"No report on TEV; new CTOI likely member of Velorum association, PATHOS-38 in Nardiello (2020)"
124029677.0,124029677.01,nan,nan,Found with our in-house single transit finder
125414447.0,125414447.01,3.707,nan,"No report on TEV; new CTOI likely member of NGC 2323     , PATHOS-09 in Nardiello et al. (2020)"
126098688.0,126098688.01,5.914,nan,No report
126572546.0,126572546.01,2.302,nan,planet candidate around evolved hot star
126600730.0,126600730.01,6.299,nan,"No report on TEV; new CTOI likely member of Haffner 14   , PATHOS-10 in Nardiello et al. (2020)"
128703021.0,128703021.01,0,nan,Single transit; no report
134631912.0,134631912.01,1.06,nan,All info obtained using the Light Kurve framework
135145585.0,135145585.01,1.51,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
135367053.0,135367053.01,2.758,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
137389526.0,137389526.01,3.912,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
138820713.0,138820713.01,1.926,nan,Corrected transit depth of 649.22 (+/-26.15) ppm
139470998.0,139470998.01,121.8,nan,Planet Hunters TESS candidate.
139726266.0,139726266.01,nan,nan,Found with our in-house single transit finder; Sector 32
139877968.0,139877968.01,18.615,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
140215502.0,140215502.01,nan,nan,Found with our in-house single transit finder; Sector 32
140284423.0,140284423.01,9.439,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
141979734.0,141979734.01,24.533,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
142276270.0,142276270.05,4.172,nan,No report for this specific signal
142276270.0,142276270.06,39.54128,nan,"No report for this specific signal; porbably mix of other multi candidates, close to .01"
142305141.0,142305141.01,1.96,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
142628514.0,142628514.01,2.626,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
142648205.0,142648205.01,17.633,nan,WINE warm jupiter candidate
142784687.0,142784687.01,3.171,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
144124187.0,144124187.01,15.718,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
144164538.0,144164538.01,3.128,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
144297844.0,144297844.01,3.496,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
144317256.0,144317256.01,1.505,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
159059181.0,144995073.01,20.021,nan,"No report on TEV; new CTOI likely member of NGC 2669     , PATHOS-11 in Nardiello et al. (2020)"
146652799.0,146652799.01,19.778,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
147034452.0,147034452.01,4.53,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
147069011.0,147069011.01,7.328,nan,No report on TEV
147426828.0,147426828.01,1.462,nan,"No report on TEV; new CTOI likely member of NGC 2318     , PATHOS-13 in Nardiello et al. (2020)"
147797743.0,147797743.01,3.692,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
147852475.0,147852475.01,3.917,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
148478039.0,148478039.01,10.608,nan,WINE warm jupiter candidate
149391403.0,149391403.01,5.23,nan,Possible hot jupiter
149508001.0,149508001.01,0.721,nan,Corrected transit depth of 366.38 (+/-81.29) ppm; USP candidate
149601126.0,149601126.01,23.19,nan,PHT candidate. Additional transits in the FFIs.
149601126.0,149601126.02,49.23,nan,PHT candidate. Additional transit in the FFIs.
150030205.0,150030205.03,10.868,nan,No TEV report for 10.9 day signal; TOI; no ephemeris match; hard to see signal at 10.9 d
151628217.0,151628217.01,1.111,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
153937417.0,153937417.01,4.16,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
155873992.0,155873992.01,4.951,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
155993822.0,155993822.01,12.284,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
156947629.0,156947629.01,5.253,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
156999527.0,156999527.01,4.393,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
158167408.0,158167408.01,5.231,nan,No report on TEV
158209498.0,158209498.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
158388163.0,158388163.01,4.22,nan,No report on TEV
158551257.0,158551257.01,0.904,nan,No report on TEV
158786520.0,158786520.01,0.721,nan,No report on TEV
158835095.0,158835095.01,0.575,nan,No report on TEV
159059181.0,159059181.01,5.217,nan,"No report on TEV; new CTOI likely member of NGC 2112     , PATHOS-16 in Nardiello et al. (2020)"
159098316.0,159098316.01,3.577,nan,No report on TEV
159159904.0,159159904.01,0,nan,No report on TEV
159332859.0,159332859.01,4.482,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
159761678.0,159761678.01,1.445,nan,No report on TEV
160004025.0,160004025.01,2.798,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
160037058.0,160037058.01,4.582,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
160041500.0,160041500.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
160432093.0,160432093.01,3.992,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
161003569.0,161003569.01,3.512,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
161169240.0,161169240.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
162631539.0,162631539.01,nan,nan,No report on TEV; PHT candidate. Single transit event.
164365027.0,164365027.01,nan,nan,No report
164781040.0,164781040.01,2.349,nan,No report on TEV
164786087.0,164786087.01,4.076,nan,No report on TEV
165110772.0,165110772.01,0.061,nan,No report
167085203.0,167085203.01,15.517,nan,"No report on TEV; new CTOI, Montalto et al. (2020)"
167456277.0,167456277.01,nan,nan,No report on TEV; Found with our in-house single transit finder; transit finder output attached under 'Files'
167653919.0,167653919.01,nan,nan,No TEV report; Found with our in-house single transit finder
167671392.0,167671392.01,3.963,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
167714124.0,167714124.01,4.163,nan,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
168281028.0,168281028.01,4.374,nan,"new CTOI, Montalto et al. (2020)"
