TIC,CTOI,TEV Disposition,Notes,CTOI Category,TIC ID,TFOPWG Disposition
178154917.0,178154917.01,FP(EB),WINE single transit,Likely FP,,
180412528.0,180412528.01,FP(EB),Eccentric EB,Likely FP,,
180412528.0,180412528.02,FP(EB),Eccentric EB,Likely FP,,
198008002.0,198008002.01,FP(EB),"new CTOI; off target
",Likely FP,,
200321330.0,200321330.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
201256771.0,201256771.01,FP(EB),Rp = 42 Re,Likely FP,,
201256771.0,201256771.02,FP(EB),Rp = 42 Re,Likely FP,,
204497617.0,204497617.02,FP(EB),EB,Likely FP,,
206462116.0,206462116.01,FP(EB),Rp = 131 Re,Likely FP,,
206462116.0,206462116.02,FP(EB),Rp = 131 Re,Likely FP,,
207080350.0,207080350.02,FP(EB),EB,Likely FP,,
214517366.0,214517366.01,FP(EB),Single transit; Rp = 27 Re,Likely FP,,
219254268.0,219254268.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
220076110.0,220076110.01,FP(EB),"new CTOI, Montalto et al. (2020); had odd-even in sector 6 but only 4 transits",Likely FP,,
220402290.0,220402290.02,FP(EB),Rp = 52 Re,Likely FP,,
220474209.0,220474209.02,FP(EB),EB,Likely FP,,
220567625.0,220567625.01,FP(EB),Rp = 68 Re,Likely FP,,
220567625.0,220567625.02,FP(EB),Rp = 68 Re,Likely FP,,
224307602.0,224307602.01,FP(EB),Centroid offset on another star,Likely FP,,
231833061.0,231833061.01,FP(EB),EB,Likely FP,,
231833061.0,231833061.02,FP(EB),EB,Likely FP,,
231860752.0,231860752.01,FP(EB),Rp = 43 Re,Likely FP,,
233961334.0,233961334.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
234347951.0,234347951.01,FP(EB),Rp = 104 Re,Likely FP,,
234347951.0,234347951.02,FP(EB),Rp = 104 Re,Likely FP,,
251061007.0,251061007.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
253922296.0,253922296.02,FP(EB),Synchronized; secondary,Likely FP,,
259784884.0,259784884.01,FP(EB),First 2 events seem spurious; third is real,Likely FP,,
260639999.0,260639999.01,FP(EB),Too faint for QLP; possible single; centroid offset in SPOC,Likely FP,,
263074592.0,263074592.01,FP(EB),Rp = 288 Re,Likely FP,,
263074592.0,263074592.02,FP(EB),Rp = 288 Re,Likely FP,,
265469420.0,265469420.01,FP(EB),Rp = 47 Re,Likely FP,,
265469420.0,265469420.02,FP(EB),Rp = 47 Re,Likely FP,,
267185423.0,267185423.01,FP(EB),Single transit; too large,Likely FP,,
267608606.0,267608606.01,FP(EB),Multi or EB; investigate further,Likely FP,,
270450687.0,270450687.02,FP(EB),Possibly EB primary transit to .01,Likely FP,,
273792220.0,273792220.01,FP(EB),248 sigma odd-even,Likely FP,,
273792220.0,273792220.02,FP(EB),248 sigma odd-even,Likely FP,,
275083922.0,275083922.01,FP(EB),SPOC centroid offset centered near other star,Likely FP,,
278683641.0,278683641.01,FP(EB),Rp = 74 Re,Likely FP,,
278683641.0,278683641.02,FP(EB),Rp = 74 Re,Likely FP,,
278784173.0,278784173.01,FP(EB),Rp = 35 Re,Likely FP,,
278988794.0,278988794.01,FP(EB),Rp = 59 Re,Likely FP,,
278988794.0,278988794.02,FP(EB),Rp = 59 Re,Likely FP,,
278990954.0,278990954.01,FP(EB),EB in GV,Likely FP,,
287328866.0,287328866.01,FP(EB),Rp =27.5 Re; ruled EB,Likely FP,,
287328866.0,287328866.02,FP(EB),Rp =27.5 Re; ruled EB,Likely FP,,
290049697.0,290049697.01,FP(EB),Single transit; too large to be planet,Likely FP,,
300903537.0,300903537.03,FP(EB),Primary/secondary,Likely FP,,
302495337.0,302495337.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
304339227.0,304339227.01,FP(EB),Centroid offset,Likely FP,,
306667367.0,306667367.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
309658221.0,309658221.01,FP(EB),Rp = 37 Re,Likely FP,,
309658221.0,309658221.02,FP(EB),Rp = 37 Re,Likely FP,,
325469795.0,325469795.01,FP(EB),Rp = 211 Re,Likely FP,,
325469795.0,325469795.02,FP(EB),Rp = 211 Re,Likely FP,,
341492896.0,341492896.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
350479101.0,350479101.01,FP(EB),Rp = 54 Re,Likely FP,,
364302118.0,364302118.01,FP(EB),Odd-even,Likely FP,,
364302118.0,364302118.02,FP(EB),Odd-even,Likely FP,,
369456296.0,369456296.01,FP(EB),Single transit; Rp = 25 Re; investigate further,Likely FP,,
370324073.0,370324073.01,FP(EB),Rp = 51 Re,Likely FP,,
370324073.0,370324073.02,FP(EB),Rp = 51 Re,Likely FP,,
389927567.0,389927567.01,FP(EB),"new CTOI likely member of Melotte 101  , PATHOS-24 in Nardiello et al. (2020)",Likely FP,,
394230860.0,394230860.01,FP(EB),Rp = 147 Re,Likely FP,,
394230860.0,394230860.02,FP(EB),Rp = 147 Re,Likely FP,,
404927661.0,404927661.01,FP(EB),Rp = 72 Re,Likely FP,,
404927661.0,404927661.02,FP(EB),Rp = 72 Re,Likely FP,,
406276109.0,406276109.02,FP(EB),Secondary,Likely FP,,
410126347.0,410126347.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
441056702.0,441056702.01,FP(EB),Single transit; scattered light; centroid offset; background flux spikes around epoch 1371,Likely FP,,
441422527.0,441422527.01,FP(EB),Rp = 65 Re,Likely FP,,
11356662.0,11356662.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
25078924.0,25078924.01,FP(EB),Primary/secondary,Likely FP,,
25078924.0,25078924.02,FP(EB),Primary/secondary,Likely FP,,
25226885.0,25226885.01,FP(EB),Primary/secondary,Likely FP,,
25226885.0,25226885.02,FP(EB),Primary/secondary,Likely FP,,
25354620.0,25354620.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
29478974.0,29478974.01,FP(EB),Primary/secondary,Likely FP,,
29478974.0,29478974.02,FP(EB),Primary/secondary,Likely FP,,
29986808.0,29986808.01,FP(EB),Primary/secondary,Likely FP,,
29986808.0,29986808.02,FP(EB),Primary/secondary,Likely FP,,
12.84663084,30836645.01,FP(EB),Found with our in-house single transit finder,Likely FP,,
31869740.0,31869740.01,FP(EB),new CTOI; secondary,Likely FP,,
32150630.0,32150630.01,FP(EB),Primary/secondary,Likely FP,,
32150630.0,32150630.02,FP(EB),Primary/secondary,Likely FP,,
39018208.0,39018208.01,FP(EB),,Likely FP,,
41896812.0,41896812.01,FP(EB),Primary/secondary,Likely FP,,
41896812.0,41896812.02,FP(EB),Primary/secondary,Likely FP,,
46627823.0,46627823.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
50380257.0,50380257.01,FP(EB),Synchronized; secondary,Likely FP,,
52079677.0,52079677.01,FP(EB),Primary/secondary,Likely FP,,
52079677.0,52079677.02,FP(EB),Primary/secondary,Likely FP,,
52449797.0,52449797.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
54256015.0,54256015.01,FP(EB),newCTOI; large likely EB; 1000 ppm secondary,Likely FP,,
55404385.0,55404385.01,FP(EB),Primary/secondary,Likely FP,,
55404385.0,55404385.02,FP(EB),Primary/secondary,Likely FP,,
55497281.0,55497281.01,FP(EB),Primary/secondary,Likely FP,,
55524055.0,55524055.01,FP(EB),Primary/secondary,Likely FP,,
55524055.0,55524055.02,FP(EB),Primary/secondary,Likely FP,,
70442570.0,70442570.01,FP(EB),Primary/secondary,Likely FP,,
70442570.0,70442570.02,FP(EB),Primary/secondary,Likely FP,,
78740218.0,78740218.01,FP(EB),,Likely FP,,
91369561.0,91369561.02,FP(EB),Primary/secondary,Likely FP,,
91369561.0,91369561.03,FP(EB),Primary/secondary,Likely FP,,
92320552.0,92320552.01,FP(EB),Preliminary Vetting with DAVE,Likely FP,,
92350408.0,92350408.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
92594505.0,92594505.01,FP(EB),Too large,Likely FP,,
99086567.0,99086567.01,FP(EB),newCTOI,Likely FP,,
102169275.0,102169275.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
115115136.0,115115136.01,FP(EB),,Likely FP,,
115115136.0,115115136.02,FP(EB),,Likely FP,,
115410334.0,115410334.01,FP(EB),Centroid offset + depth-aperture correlation,Likely FP,,
118084297.0,118084297.01,FP(EB),newCTOI; Y1 and s36 SPOC shows eccentric EB,Likely FP,,
118084297.0,118084297.01,FP(EB),newCTOI,Likely FP,,
121420805.0,121420805.01,FP(EB),Primary/secondary,Likely FP,,
121420805.0,121420805.02,FP(EB),Primary/secondary,Likely FP,,
122897814.0,122897814.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
126945917.0,126945917.01,FP(EB),Primary/secondary,Likely FP,,
126945917.0,126945917.02,FP(EB),Primary/secondary,Likely FP,,
129268651.0,129268651.01,FP(EB),,Likely FP,,
135050395.0,135050395.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
136886352.0,136886352.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
137205922.0,137205922.01,FP(EB),33 Re,Likely FP,,
140659980.0,140659980.01,FP(EB),,Likely FP,,
140659980.0,140659980.02,FP(EB),,Likely FP,,
140736015.0,140736015.01,FP(EB),52 Re,Likely FP,,
141708335.0,141708335.01,FP(EB),Centroid offset centered on another star,Likely FP,,
141770592.0,141770592.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
141809359.0,141809359.02,FP(EB),,Likely FP,,
141943694.0,141943694.01,FP(EB),Centroid offset centered on another star,Likely FP,,
142443425.0,142443425.01,FP(EB),new CTOI,Likely FP,,
143924219.0,143924219.01,FP(EB),Primary/secondary,Likely FP,,
143924219.0,143924219.02,FP(EB),Primary/secondary,Likely FP,,
144000467.0,144000467.01,FP(EB),Primary/secondary,Likely FP,,
144000467.0,144000467.02,FP(EB),Primary/secondary,Likely FP,,
144284873.0,144284873.01,FP(EB),"new CTOI, Montalto et al. (2020)",Likely FP,,
144462697.0,144462697.01,FP(EB),Primary/secondary,Likely FP,,
