TIC ID,CTOI,Transit Epoch (BJD),Period (days),Planet Radius (R_Earth),Duration (hours),Depth (mmag),CTOI Category
78441371,78441371.01,2458469.528,3.998,nan,4.441,6.094,Promoted to TOI
82452140,82452140.01,2458964.29,20.32,2.95,nan,1.521,Promoted to TOI
83154030,83154030.01,2458581.055,11.719,nan,nan,nan,Promoted to TOI
85293053,85293053.02,2459618.708,nan,6.0,5.4,3.306,Promoted to TOI
85429139,85429139.01,2458818.389,4.743,16.962,3.406,7.682,Promoted to TOI
88385463,88385463.01,2458845.469,3.123,13.859,2.84,15.265,Promoted to TOI
88565745,88565745.01,2458854.23,nan,9.847,nan,7.348,Promoted to TOI
88840705,88840705.01,2459026.649,nan,nan,4.7,4.352,Promoted to TOI
88902249,88902249.01,2458595.579,7.703,10.79,0.181,3.489,Promoted to TOI
91287873,91287873.01,2459515.173,26.693,2.8,3.8,1.815,Promoted to TOI
91555165,91555165.01,2458382.885,1.053,1.57,0.061,0.493,Promoted to TOI
91987762,91987762.01,2458894.255,0.0,9.5,4.7,3.262,Promoted to TOI
92590258,92590258.01,2459965.819,3.242,13.81,3.2,11.588,Promoted to TOI
95589845,95589845.01,2458493.886,3.566,14.569,4.208,6.306,Promoted to TOI
97165413,97165413.01,2458468.819,1.271,nan,nan,0.869,Promoted to TOI
97568467,97568467.01,2459226.41,21.316,11.87,6.87,2.052,Promoted to TOI
97766057,97766057.01,2458634.65,3.251,nan,6.5,2.391,Promoted to TOI
98957720,98957720.01,2458568.968,7.683,19.03,0.119,24.647,Promoted to TOI
100267480,100267480.01,2458653.681,0.877,6.53,0.038,12.058,Promoted to TOI
100589632,100589632.01,2458435.621,3.947,4.41,0.092,2.125,Promoted to TOI
101011575,101011575.02,2459269.933,18.878,2.88,3.8,1.695,Promoted to TOI
102713734,102713734.01,2458819.066,3.398,19.342,4.665,9.456,Promoted to TOI
102808276,102808276.01,2458819.289,3.143,17.03,2.656,32.746,Promoted to TOI
103195323,103195323.01,2459006.41,5.586,16.2,6.11,6.316,Promoted to TOI
103633672,103633672.01,2458850.35,0.0,3.5,7.0,2.174,Promoted to TOI
103751498,103751498.01,2458686.314,3.715,15.433,4.0,12.324,Promoted to TOI
104734832,104734832.01,2459912.751,10.327,10.0,9.0,1.346,Promoted to TOI
104986789,104986789.01,2458818.762,3.458,12.971,2.708,8.843,Promoted to TOI
105379013,105379013.01,2458871.426,3.295,9.938,2.552,12.142,Promoted to TOI
107340585,107340585.01,2458493.547,2.689,14.752,2.555,11.826,Promoted to TOI
110996418,110996418.01,2458580.65,0.0,12.7,3.6,13.108,Promoted to TOI
112316665,112316665.01,2458495.136,3.748,15.615,3.461,5.462,Promoted to TOI
115451738,115451738.01,2458816.593,2.081,28.83,5.911,22.7,Promoted to TOI
115453244,115453244.01,2458817.882,3.823,14.852,3.798,12.422,Promoted to TOI
116048097,116048097.01,2459767.614,8.055,5.0,5.0,2.174,Promoted to TOI
119131709,119131709.01,2459690.8,17.285,6.078,3.6,2.293,Promoted to TOI
119973835,119973835.01,24588985.68,nan,2.7,2.9,0.869,Promoted to TOI
119973835,119973835.02,2458993.25,nan,2.49,3.8,0.76,Promoted to TOI
120033290,120033290.01,2458654.883,2.266,14.07,3.682,5.235,Promoted to TOI
122441491,122441491.01,2458687.574,3.801,nan,2.183,8.125,Promoted to TOI
122596693,122596693.01,2458687.344,3.523,nan,2.489,13.961,Promoted to TOI
122617317,122617317.02,2459386.607,0.99,1.339,1.571,0.288,Promoted to TOI
123233041,123233041.01,2458684.446,3.523,nan,5.882,10.442,Promoted to TOI
123495874,123495874.01,2458687.684,7.886,nan,2.878,7.625,Promoted to TOI
123664207,123664207.01,2459225.806,nan,2.93,4.0,1.831,Promoted to TOI
124029677,124029677.01,2459218.012,nan,10.82,4.4,5.56,Promoted to TOI
124095888,124095888.01,2458570.146,1.125,10.7,0.027,2.022,Promoted to TOI
124206468,124206468.01,2458570.829,7.094,12.92,0.138,6.049,Promoted to TOI
124515764,124515764.01,2458570.846,1.272,3.95,0.104,1.106,Promoted to TOI
125520907,125520907.01,2459862.348,14.547,12.19,6.3,3.505,Promoted to TOI
126572546,126572546.01,nan,2.302,nan,5.5,1.086,Promoted to TOI
127505658,127505658.01,2458840.535,nan,10.425,nan,12.612,Promoted to TOI
129756316,129756316.01,2458789.937,6.526,19.505,0.26,8.362,Promoted to TOI
131419878,131419878.01,3458494.089,3.16,2.4,1.922,0.22,Promoted to TOI
133655284,133655284.01,2458500.5,2.61,nan,5.5,2.174,Promoted to TOI
134528212,134528212.01,2458492.26,1.605,15.573,1.846,14.928,Promoted to TOI
135036669,135036669.01,2458544.628,0.911,7.31,3.172,66.511,Promoted to TOI
135100529,135100529.01,2459640.621,4.341,nan,1.7,46.586,Promoted to TOI
138126035,138126035.01,2458954.323,nan,4.0,4.6,1.527,Promoted to TOI
138820713,138820713.01,2458900.393,1.926,1.36,1.512,0.881,Promoted to TOI
139198430,139198430.01,2458333.111,nan,7.1,1.3,10.875,Promoted to TOI
139444326,139444326.01,2458437.17,3.527,5.68,0.12,1.773,Promoted to TOI
139771134,139771134.01,2458335.212,0.913,nan,0.504,5.988,Promoted to TOI
139877968,139877968.01,2458314.82,18.615,13.14,0.16,11.606,Promoted to TOI
140830390,140830390.01,2458595.51,12.827,26.519,8.4,10.708,Promoted to TOI
141186075,141186075.01,2458349.717,32.699,1.213,5.176,0.12,Promoted to TOI
141186075,141186075.02,2458417.083,118.713,1.83,7.411,0.254,Promoted to TOI
